Genus;Train Real Occurences;Train Model Adjusted Occurences;Test Real Occurences;Test Model Adjusted Occurences
SLACKIA;6.0;6.009834472944467;0.0;1.0006000245537603
GILVIMARINUS;2.0;2.0239541513084096;0.0;0.6609608475644405
DRACONIBACTERIUM;14.0;14.00118105827579;2.0;2.613817644044353
DESULFOMONILE;8.0;8.005321493189598;1.0;1.6890621322631236
STREPTOBACILLUS;3.0;3.7365174731412583;0.0;1.7928426173093652
STREPTOCOCCUS;54.0;55.09839787759741;12.0;11.084102115483653
OSCILLIBACTER;22.0;22.97988479956029;4.0;4.000159049548753
[EUBACTERIUM]_NODATUM_GROUP;19.0;15.079577714838276;5.0;3.297237032169103
LEPTOTRICHIA;8.0;8.001353631749367;4.0;2.2076796528565903
MICROBACTERIUM;13.0;14.37485906408405;1.0;2.0008020804486613
KOCURIA;9.0;10.58839038453167;2.0;2.700303141490252
VERRUCOMICROBIA_WCHB1-41_GENUS;23.0;23.010500902575075;4.0;4.464086053749875
ERYSIPELOTRICHACEAE_GENUS;2.0;2.0025682648149536;2.0;0.001824141213673322
KLEBSIELLA;4.0;1.5793542634486002;1.0;0.002030997853629833
ODORIBACTER;10.0;11.332315884912688;0.0;1.0008936800968395
TEPIDISPHAERA;2.0;2.0022798938547948;1.0;0.007360458352835665
LACTOBACILLUS;116.0;115.22080190197637;25.0;25.28938885658608
ACETITOMACULUM;28.0;28.053144092784986;4.0;4.000030505798142
PALUDIBACTER;27.0;25.057449959825444;2.0;2.0049812115487775
NOVOSPHINGOBIUM;6.0;6.752246016637637;0.0;0.000165230925920537
SACCHAROFERMENTANS;40.0;41.386068223839914;6.0;5.556558692298667
PSEUDOMONAS;31.0;30.255803554691393;15.0;14.764301236752813
STACKEBRANDTIA;4.0;4.002743833054858;0.0;2.000472734491605
STAPHYLOCOCCUS;43.0;44.292220509568835;10.0;9.429986244215254
MICROVIRGA;12.0;12.00302746247823;1.0;5.985661177775451
FINEGOLDIA;11.0;11.58323742642398;1.0;3.5250325873223556
SUTTONELLA;1.0;1.0002922127372142;0.0;9.192820284106906e-06
BACILLUS;81.0;90.69018372750482;16.0;30.778062327625715
PSYCHROBACTER;11.0;12.004023680065915;4.0;5.419064565538166
BRACHYBACTERIUM;10.0;10.00043909740964;2.0;1.0006410660757301
HALIANGIUM;26.0;26.002774566767506;4.0;4.0024385032014695
WINOGRADSKYELLA;2.0;1.4279259900304406;1.0;0.5325103772978249
PAENIBACILLUS;61.0;59.73708842241841;19.0;19.32319015364217
THERMOMICROBIA_JG30-KF-CM45_GENUS;21.0;21.00689664681389;1.0;1.061855811244445
THERMOBACILLUS;3.0;3.0108568394511357;1.0;1.0407610757020613
MARINOMONAS;4.0;4.001254114392604;1.0;0.4495539461790823
JEOTGALICOCCUS;3.0;3.010066069587678;0.0;2.004983900235631
KTEDONOBACTERIA_C0119_GENUS;9.0;8.672857195942168;0.0;3.5905601001042733
WEEKSELLA;1.0;1.0007624752986062;0.0;0.6366360780391259
WEISSELLA;9.0;7.776399832709169;4.0;4.001132886124825
LEUCONOSTOC;9.0;9.975456601766435;6.0;6.025352842815998
ALISTIPES;15.0;16.000943200260934;7.0;5.044282834790373
ACIDIPILA;39.0;41.28120931433204;14.0;16.011838485814003
MOGIBACTERIUM;14.0;16.207138045093664;3.0;5.001780883282093
CHRISTENSENELLACEAE_R-7_GROUP;148.0;154.7624705235247;38.0;42.838996056134626
RUMINOCOCCUS;29.0;27.001119157735626;8.0;7.466854521845717
PREVOTELLA;125.0;124.63105549619102;33.0;33.04997503515053
ACHOLEPLASMA;17.0;17.010404531706705;4.0;4.732009822354789
METHANOBACTERIUM;7.0;7.000825894013067;2.0;2.2893467478876643
AQUISPHAERA;1.0;1.0025175668909267;0.0;3.859052811670122e-06
PEPTOCLOSTRIDIUM;5.0;4.3630386260274285;0.0;1.0003848525304753
PSEUDOXANTHOMONAS;2.0;2.4620630164137056;0.0;2.0018859474851673
DEFLUVIICOCCUS;8.0;8.057271292168982;2.0;2.224708507119411
CORYNEBACTERIUM;42.0;41.58889065763184;13.0;13.004940667052816
GAMMAPROTEOBACTERIA_GENUS;16.0;15.602693506322831;6.0;4.511431723966942
NOVISPIRILLUM;5.0;4.25979380939059;0.0;0.143433975958446
PSEUDOBUTYRIVIBRIO;2.0;2.00054111350039;1.0;1.338470369233638
THIOPSEUDOMONAS;4.0;4.000464635100025;0.0;0.23674876842962558
ALGORIPHAGUS;6.0;6.330070962430661;1.0;2.0004991660943316
ECTOTHIORHODOSPIRA;20.0;19.870732747591955;2.0;2.5142355970922132
SULFOLOBUS;8.0;8.002298943477376;0.0;1.0000266041319794
RHIZOBACTER;2.0;2.011983212353985;0.0;0.0003140072326655516
NITROSPIRA;6.0;6.004706124198593;2.0;2.000542604192448
TISSIERELLA;13.0;12.597830500023061;6.0;1.8328130474038309
EPULOPISCIUM;1.0;1.0060771249022944;1.0;0.34842148832759934
