Genus;Results from;Occurences
SLACKIA;Train Real Occurences;6.0
GILVIMARINUS;Train Real Occurences;2.0
DRACONIBACTERIUM;Train Real Occurences;14.0
DESULFOMONILE;Train Real Occurences;8.0
STREPTOBACILLUS;Train Real Occurences;3.0
STREPTOCOCCUS;Train Real Occurences;54.0
OSCILLIBACTER;Train Real Occurences;22.0
[EUBACTERIUM]_NODATUM_GROUP;Train Real Occurences;19.0
LEPTOTRICHIA;Train Real Occurences;8.0
MICROBACTERIUM;Train Real Occurences;13.0
KOCURIA;Train Real Occurences;9.0
VERRUCOMICROBIA_WCHB1-41_GENUS;Train Real Occurences;23.0
ERYSIPELOTRICHACEAE_GENUS;Train Real Occurences;2.0
KLEBSIELLA;Train Real Occurences;4.0
ODORIBACTER;Train Real Occurences;10.0
TEPIDISPHAERA;Train Real Occurences;2.0
LACTOBACILLUS;Train Real Occurences;116.0
ACETITOMACULUM;Train Real Occurences;28.0
PALUDIBACTER;Train Real Occurences;27.0
NOVOSPHINGOBIUM;Train Real Occurences;6.0
SACCHAROFERMENTANS;Train Real Occurences;40.0
PSEUDOMONAS;Train Real Occurences;31.0
STACKEBRANDTIA;Train Real Occurences;4.0
STAPHYLOCOCCUS;Train Real Occurences;43.0
MICROVIRGA;Train Real Occurences;12.0
FINEGOLDIA;Train Real Occurences;11.0
SUTTONELLA;Train Real Occurences;1.0
BACILLUS;Train Real Occurences;81.0
PSYCHROBACTER;Train Real Occurences;11.0
BRACHYBACTERIUM;Train Real Occurences;10.0
HALIANGIUM;Train Real Occurences;26.0
WINOGRADSKYELLA;Train Real Occurences;2.0
PAENIBACILLUS;Train Real Occurences;61.0
THERMOMICROBIA_JG30-KF-CM45_GENUS;Train Real Occurences;21.0
THERMOBACILLUS;Train Real Occurences;3.0
MARINOMONAS;Train Real Occurences;4.0
JEOTGALICOCCUS;Train Real Occurences;3.0
KTEDONOBACTERIA_C0119_GENUS;Train Real Occurences;9.0
WEEKSELLA;Train Real Occurences;1.0
WEISSELLA;Train Real Occurences;9.0
LEUCONOSTOC;Train Real Occurences;9.0
ALISTIPES;Train Real Occurences;15.0
ACIDIPILA;Train Real Occurences;39.0
MOGIBACTERIUM;Train Real Occurences;14.0
CHRISTENSENELLACEAE_R-7_GROUP;Train Real Occurences;148.0
RUMINOCOCCUS;Train Real Occurences;29.0
PREVOTELLA;Train Real Occurences;125.0
ACHOLEPLASMA;Train Real Occurences;17.0
METHANOBACTERIUM;Train Real Occurences;7.0
AQUISPHAERA;Train Real Occurences;1.0
PEPTOCLOSTRIDIUM;Train Real Occurences;5.0
PSEUDOXANTHOMONAS;Train Real Occurences;2.0
DEFLUVIICOCCUS;Train Real Occurences;8.0
CORYNEBACTERIUM;Train Real Occurences;42.0
GAMMAPROTEOBACTERIA_GENUS;Train Real Occurences;16.0
NOVISPIRILLUM;Train Real Occurences;5.0
PSEUDOBUTYRIVIBRIO;Train Real Occurences;2.0
THIOPSEUDOMONAS;Train Real Occurences;4.0
ALGORIPHAGUS;Train Real Occurences;6.0
ECTOTHIORHODOSPIRA;Train Real Occurences;20.0
SULFOLOBUS;Train Real Occurences;8.0
RHIZOBACTER;Train Real Occurences;2.0
NITROSPIRA;Train Real Occurences;6.0
TISSIERELLA;Train Real Occurences;13.0
EPULOPISCIUM;Train Real Occurences;1.0
ML635J-21_GENUS;Train Real Occurences;8.0
PEDOBACTER;Train Real Occurences;16.0
COLWELLIA;Train Real Occurences;2.0
ARSENOPHONUS;Train Real Occurences;1.0
SPOROSARCINA;Train Real Occurences;4.0
ALLOCHROMATIUM;Train Real Occurences;1.0
SOLITALEA;Train Real Occurences;5.0
MARIPROFUNDUS;Train Real Occurences;2.0
RHODANOBACTER;Train Real Occurences;3.0
POLYANGIUM;Train Real Occurences;5.0
DEPENDENTIAE_[TM6]_GENUS;Train Real Occurences;12.0
TOMITELLA;Train Real Occurences;2.0
PLASTICICUMULANS;Train Real Occurences;2.0
TRANQUILLIMONAS;Train Real Occurences;1.0
PARABURKHOLDERIA;Train Real Occurences;2.0
RUMINOCOCCACEAE_GENUS;Train Real Occurences;253.0
TURICELLA;Train Real Occurences;1.0
ERYSIPELATOCLOSTRIDIUM;Train Real Occurences;8.0
PSEUDOCLAVIBACTER;Train Real Occurences;4.0
PYRINOMONAS;Train Real Occurences;7.0
METHYLOCYSTIS;Train Real Occurences;6.0
EDAPHOBACTER;Train Real Occurences;1.0
TURICIBACTER;Train Real Occurences;1.0
HELIORESTIS;Train Real Occurences;1.0
UNDIBACTERIUM;Train Real Occurences;4.0
ANAEROTRUNCUS;Train Real Occurences;38.0
DESULFUROMONAS;Train Real Occurences;11.0
BUTYRICIMONAS;Train Real Occurences;5.0
BUTYRIVIBRIO;Train Real Occurences;10.0
ARMATIMONADETES_GENUS;Train Real Occurences;1.0
SUCCINIVIBRIO;Train Real Occurences;2.0
RUMINOCLOSTRIDIUM;Train Real Occurences;2.0
RHIZOBIALES_GENUS;Train Real Occurences;8.0
LYSOBACTER;Train Real Occurences;11.0
METHANOMASSILIICOCCUS;Train Real Occurences;12.0
FILOMICROBIUM;Train Real Occurences;1.0
TEPIDIMICROBIUM;Train Real Occurences;12.0
BACTEROIDETES_SB-5_GENUS;Train Real Occurences;13.0
CLOSTRIDIUM;Train Real Occurences;60.0
PERSICITALEA;Train Real Occurences;2.0
THERMOBIFIDA;Train Real Occurences;1.0
GLUCONOBACTER;Train Real Occurences;2.0
ORIBACTERIUM;Train Real Occurences;9.0
FLAVOBACTERIUM;Train Real Occurences;36.0
STREPTOMYCES;Train Real Occurences;9.0
STOMATOBACULUM;Train Real Occurences;1.0
PAPILLIBACTER;Train Real Occurences;10.0
BREVIBACTERIUM;Train Real Occurences;12.0
TREPONEMA;Train Real Occurences;44.0
ANAEROBACTERIUM;Train Real Occurences;98.0
PSEUDOHONGIELLA;Train Real Occurences;3.0
RIKENELLACEAE_RC9_GUT_GROUP;Train Real Occurences;34.0
RUMINICLOSTRIDIUM;Train Real Occurences;93.0
BACTEROIDES;Train Real Occurences;39.0
DELTAPROTEOBACTERIA_GENUS;Train Real Occurences;26.0
CLOSTRIDIALES_GENUS;Train Real Occurences;28.0
AMORPHUS;Train Real Occurences;1.0
RUBRICOCCUS;Train Real Occurences;7.0
BHARGAVAEA;Train Real Occurences;1.0
TURNERIELLA;Train Real Occurences;1.0
RHODOVIBRIO;Train Real Occurences;1.0
CHLOROBIALES_OPB56_GENUS;Train Real Occurences;10.0
PECTINATUS;Train Real Occurences;2.0
TAONELLA;Train Real Occurences;3.0
METHYLOTENERA;Train Real Occurences;3.0
TERRIBACILLUS;Train Real Occurences;1.0
BACTEROIDETES_VC2.1_BAC22_GENUS;Train Real Occurences;4.0
ARCICELLA;Train Real Occurences;1.0
KANGIELLA;Train Real Occurences;2.0
SYNTROPHOMONAS;Train Real Occurences;7.0
DIPLORICKETTSIA;Train Real Occurences;2.0
HYDROGENOANAEROBACTERIUM;Train Real Occurences;3.0
DYSGONOMONAS;Train Real Occurences;16.0
ALLOFUSTIS;Train Real Occurences;1.0
ELIZABETHKINGIA;Train Real Occurences;1.0
PEPTOCOCCACEAE_GENUS;Train Real Occurences;16.0
IGNAVIBACTERIUM;Train Real Occurences;6.0
ARMATIMONAS;Train Real Occurences;8.0
ALLOPREVOTELLA;Train Real Occurences;18.0
ANAEROVORAX;Train Real Occurences;21.0
RHODOCYTOPHAGA;Train Real Occurences;1.0
LUTEIBACTER;Train Real Occurences;1.0
DESULFOCOCCUS;Train Real Occurences;5.0
BARNESIELLA;Train Real Occurences;77.0
DESULFOTOMACULUM;Train Real Occurences;17.0
CLOSTRIDIALES_VADINBB60_GROUP_GENUS;Train Real Occurences;55.0
ACIDITERRIMONAS;Train Real Occurences;45.0
TELMATOBACTER;Train Real Occurences;3.0
BLASTOCATELLA;Train Real Occurences;6.0
HYPHOMICROBIUM;Train Real Occurences;10.0
DOMIBACILLUS;Train Real Occurences;2.0
MARIVIRGA;Train Real Occurences;9.0
PEDIOCOCCUS;Train Real Occurences;9.0
LUEDEMANNELLA;Train Real Occurences;1.0
VICTIVALLIS;Train Real Occurences;13.0
FUSIBACTER;Train Real Occurences;9.0
INQUILINUS;Train Real Occurences;6.0
RHODOBIACEAE_GENUS;Train Real Occurences;2.0
ERYSIPELOTHRIX;Train Real Occurences;15.0
TRUEPERELLA;Train Real Occurences;2.0
LYSINIBACILLUS;Train Real Occurences;8.0
ACIDISPHAERA;Train Real Occurences;14.0
SPHINGOBACTERIUM;Train Real Occurences;36.0
HYMENOBACTER;Train Real Occurences;6.0
METHYLOCAPSA;Train Real Occurences;1.0
STENOTROPHOMONAS;Train Real Occurences;5.0
BACTEROIDETES_GENUS;Train Real Occurences;5.0
THERMOANAEROBACULUM;Train Real Occurences;4.0
ACTINOBACULUM;Train Real Occurences;2.0
FENOLLARIA;Train Real Occurences;1.0
GALLIBACTERIUM;Train Real Occurences;4.0
SEGETIBACTER;Train Real Occurences;5.0
GEMMATIMONAS;Train Real Occurences;44.0
PALUDIBACULUM;Train Real Occurences;29.0
ALLOIOCOCCUS;Train Real Occurences;1.0
OCEANIBACULUM;Train Real Occurences;2.0
OLSENELLA;Train Real Occurences;6.0
LACHNOSPIRACEAE_NK3A20_GROUP;Train Real Occurences;17.0
TYZZERELLA;Train Real Occurences;28.0
CROCINITOMIX;Train Real Occurences;3.0
SUCCINATIMONAS;Train Real Occurences;2.0
LABILITHRIX;Train Real Occurences;7.0
OCEANOBACILLUS;Train Real Occurences;7.0
HALOCELLA;Train Real Occurences;4.0
MARINILABIACEAE_GENUS;Train Real Occurences;2.0
BLAUTIA;Train Real Occurences;22.0
RHODOSPIRILLACEAE_GENUS;Train Real Occurences;29.0
SODALIS;Train Real Occurences;2.0
THERMOGUTTA;Train Real Occurences;2.0
ROSEOMONAS;Train Real Occurences;14.0
ANAEROSPOROBACTER;Train Real Occurences;4.0
PROSTHECOMICROBIUM;Train Real Occurences;1.0
MOBILITALEA;Train Real Occurences;10.0
ARCOBACTER;Train Real Occurences;9.0
LEWINELLA;Train Real Occurences;13.0
HALISCOMENOBACTER;Train Real Occurences;12.0
FLAVONIFRACTOR;Train Real Occurences;9.0
ROSEIFLEXUS;Train Real Occurences;7.0
LUTEOLIBACTER;Train Real Occurences;5.0
PARASEGETIBACTER;Train Real Occurences;4.0
