index,genus
1,GILVIMARINUS
2,DRACONIBACTERIUM
3,YEOSUANA
4,DESULFOMONILE
5,STREPTOBACILLUS
6,STREPTOBACILLUS
7,STREPTOBACILLUS
8,STREPTOCOCCUS
9,STREPTOCOCCUS
10,STREPTOCOCCUS
11,STREPTOCOCCUS
12,OSCILLIBACTER
14,LEPTOTRICHIA
15,MICROBACTERIUM
16,KOCURIA
17,VERRUCOMICROBIA_WCHB1-41_GENUS
18,ERYSIPELOTRICHACEAE_GENUS
19,KLEBSIELLA
20,REYRANELLA
21,VIRGIBACILLUS
22,ODORIBACTER
23,TEPIDISPHAERA
24,LACTOBACILLUS
25,LACTOBACILLUS
26,LACTOBACILLUS
27,LACTOBACILLUS
28,LACTOBACILLUS
29,LACTOBACILLUS
34,SACCHAROFERMENTANS
38,STACKEBRANDTIA
39,STACKEBRANDTIA
40,STAPHYLOCOCCUS
42,STAPHYLOCOCCUS
43,RUMINOBACTER
45,LEUCOBACTER
46,MICROVIRGA
47,FINEGOLDIA
50,BACILLUS
51,PSYCHROBACTER
53,HALIANGIUM
54,WINOGRADSKYELLA
56,BACILLUS
58,THERMOMICROBIA_JG30-KF-CM45_GENUS
59,BACILLUS
60,GEOBACILLUS
61,BACILLUS
62,THERMOBACILLUS
63,MARINOMONAS
64,PSEUDOMONAS
65,JEOTGALICOCCUS
66,PSEUDOMONAS
67,PSEUDOMONAS
68,PSEUDOMONAS
69,PSEUDOMONAS
70,PSEUDOMONAS
71,PSEUDOMONAS
73,WEEKSELLA
74,WEISSELLA
75,LEUCONOSTOC
76,LEUCONOSTOC
77,LEUCONOSTOC
79,WEISSELLA
80,LEUCONOSTOC
82,ALISTIPES
83,ACIDIPILA
84,ACIDIPILA
85,TELMATOCOLA
87,MOGIBACTERIUM
89,ACETITOMACULUM
90,CHRISTENSENELLACEAE_R-7_GROUP
91,RUMINOCOCCUS
92,PREVOTELLA
93,ACHOLEPLASMA
94,ACHOLEPLASMA
95,ORIBACTERIUM
97,METHANOBACTERIUM
98,AQUISPHAERA
103,AMINICELLA
104,MOGIBACTERIUM
106,GAMMAPROTEOBACTERIA_GENUS
110,HYDROGENISPORA
113,TUMEBACILLUS
114,ANAEROTRUNCUS
115,ALGORIPHAGUS
117,ECTOTHIORHODOSPIRA
119,BRACHYBACTERIUM
120,ACIDIPILA
122,ACIDIPILA
123,SULFOLOBUS
124,RHIZOBACTER
125,TELMATOCOLA
126,ALLOBACULUM
127,PSEUDOMONAS
130,CHRISTENSENELLACEAE_R-7_GROUP
131,NITROSPIRA
132,TISSIERELLA
133,BACILLUS
134,EPULOPISCIUM
135,KTEDONOBACTERIA_C0119_GENUS
136,PAENIBACILLUS
137,PAENIBACILLUS
138,PAENIBACILLUS
139,PAENIBACILLUS
140,PAENIBACILLUS
141,PAENIBACILLUS
142,PAENIBACILLUS
144,ML635J-21_GENUS
145,PEDOBACTER
146,DESULFATIGLANS
147,COLWELLIA
148,COLWELLIA
149,NOVISPIRILLUM
150,ARSENOPHONUS
151,SPOROSARCINA
153,SOLITALEA
154,CHRISTENSENELLACEAE_R-7_GROUP
155,MARIPROFUNDUS
156,MICROVIRGA
157,PREVOTELLA
158,PREVOTELLA
159,PALUDIBACTER
160,RHODANOBACTER
161,CAULOBACTER
162,POLYANGIUM
164,DEPENDENTIAE_[TM6]_GENUS
165,TOMITELLA
167,TOMITELLA
168,TRANQUILLIMONAS
170,PARABURKHOLDERIA
171,RUMINOCOCCACEAE_GENUS
173,RUMINOCOCCACEAE_GENUS
175,RUMINOCOCCACEAE_GENUS
176,PARABACTEROIDES
177,RUMINOCOCCACEAE_GENUS
178,ERYSIPELATOCLOSTRIDIUM
180,CORYNEBACTERIUM
181,RHODOCYCLUS
183,SULFUROSPIRILLUM
184,PEPTOCLOSTRIDIUM
185,PYRINOMONAS
186,DESULFITIBACTER
188,METHYLOCYSTIS
189,EDAPHOBACTER
191,RUMINOCOCCACEAE_GENUS
192,HELIORESTIS
194,CHRISTENSENELLACEAE_R-7_GROUP
195,PREVOTELLA
196,ANAEROTRUNCUS
199,DESULFUROMONAS
201,BUTYRICIMONAS
202,BUTYRICIMONAS
203,BUTYRIVIBRIO
204,BUTYRIVIBRIO
205,BUTYRIVIBRIO
206,ARMATIMONADETES_GENUS
207,SUCCINIVIBRIO
209,OXALOPHAGUS
211,RHIZOBIALES_GENUS
213,LACTOBACILLUS
214,LYSOBACTER
215,METHANOMASSILIICOCCUS
216,FILOMICROBIUM
217,TEPIDIMICROBIUM
220,PERSICITALEA
221,THERMOBIFIDA
222,HOLDEMANELLA
223,GLUCONOBACTER
224,ORIBACTERIUM
226,METHYLOVIRGULA
227,PAENIBACILLUS
229,LACTOBACILLUS
232,STREPTOCOCCUS
234,STREPTOMYCES
235,STREPTOMYCES
236,STOMATOBACULUM
237,PAPILLIBACTER
240,CHRISTENSENELLACEAE_R-7_GROUP
241,CHRISTENSENELLACEAE_R-7_GROUP
242,BREVIBACTERIUM
243,CHRISTENSENELLACEAE_R-7_GROUP
244,TREPONEMA
245,RUMINOCOCCACEAE_GENUS
246,ANAEROBACTERIUM
247,ACETITOMACULUM
248,CHRISTENSENELLACEAE_R-7_GROUP
249,RUMINOCOCCACEAE_GENUS
250,ANAEROBACTERIUM
251,ANAEROBACTERIUM
255,PREVOTELLA
256,ANAEROBACTERIUM
257,CHRISTENSENELLACEAE_R-7_GROUP
258,CHRISTENSENELLACEAE_R-7_GROUP
259,ACETITOMACULUM
260,PREVOTELLA
261,ERYSIPELATOCLOSTRIDIUM
262,ANAEROBACTERIUM
263,PSEUDOHONGIELLA
264,RUMINICLOSTRIDIUM
267,SYNTROPHOMONADACEAE_GENUS
268,RUMINOCOCCACEAE_GENUS
269,BACTEROIDES
270,DELTAPROTEOBACTERIA_GENUS
271,TREPONEMA
273,CLOSTRIDIALES_GENUS
274,AMORPHUS
275,RUBRICOCCUS
276,BHARGAVAEA
277,LACHNOSPIRACEAE_GENUS
278,TURNERIELLA
279,RUMINOCOCCACEAE_GENUS
280,ERYSIPELATOCLOSTRIDIUM
282,RHODOVIBRIO
283,CHLOROBIALES_OPB56_GENUS
284,TREPONEMA
285,TREPONEMA
286,TREPONEMA
287,CALDICOPROBACTER
288,RUMINOCOCCACEAE_GENUS
289,RUMINICLOSTRIDIUM
290,PECTINATUS
291,TAONELLA
293,LACTOBACILLUS
294,ANAEROSPOROBACTER
295,TREPONEMA
296,TERRIBACILLUS
297,BACTEROIDETES_VC2.1_BAC22_GENUS
298,BACTEROIDETES_VC2.1_BAC22_GENUS
299,PREVOTELLA
300,ARCICELLA
302,LACTOBACILLUS
303,SPHAEROCHAETA
304,BACILLUS
305,SHEWANELLA
308,SYNTROPHOMONAS
309,DIPLORICKETTSIA
311,HYDROGENOANAEROBACTERIUM
312,DYSGONOMONAS
313,ALLOFUSTIS
314,ELIZABETHKINGIA
315,RHIZOBIALES_GENUS
316,PEPTOCLOSTRIDIUM
317,PEPTOCOCCACEAE_GENUS
321,IGNAVIBACTERIUM
322,ARMATIMONAS
323,ALLOPREVOTELLA
324,ALLOPREVOTELLA
325,CLOSTRIDIALES_GENUS
326,ANAEROVORAX
327,RUMINOCOCCACEAE_GENUS
328,ANAEROVORAX
329,RHODOCYTOPHAGA
331,SULFURITALEA
332,LUTEIBACTER
333,DESULFOCOCCUS
334,DELTAPROTEOBACTERIA_GENUS
335,DYSGONOMONAS
336,PSEUDOBUTYRIVIBRIO
339,MEGASPHAERA
340,TISSIERELLA
341,RUMINOCOCCACEAE_GENUS
342,BARNESIELLA
343,RUMINOCOCCUS
345,ANAEROTRUNCUS
346,DESULFOTOMACULUM
348,ACIDITERRIMONAS
349,GEOTHRIX
351,BARNESIELLA
352,BLASTOCATELLA
353,HYPHOMICROBIUM
354,DOMIBACILLUS
356,MARIVIRGA
357,PEDIOCOCCUS
358,BLASTOCHLORIS
361,FUSIBACTER
364,PREVOTELLA
365,INQUILINUS
366,RHODOBIACEAE_GENUS
367,ERYSIPELOTHRIX
368,TRUEPERELLA
369,ALISTIPES
370,BACILLUS
371,LYSINIBACILLUS
372,ACIDISPHAERA
373,SPHINGOBACTERIUM
375,METHYLOCAPSA
376,STENOTROPHOMONAS
377,BACTEROIDETES_GENUS
378,THERMOANAEROBACULUM
379,ACTINOBACULUM
380,FENOLLARIA
382,GALLIBACTERIUM
384,GEMMATIMONAS
385,PALUDIBACULUM
386,LACTOBACILLUS
388,BACTEROIDETES_GENUS
389,HALOCELLA
390,PREVOTELLACEAE_UCG-003
391,LACTOBACILLUS
394,ALLOPREVOTELLA
395,ANAEROTRUNCUS
397,OCEANIBACULUM
400,CORYNEBACTERIUM
401,FLAVISOLIBACTER
402,SEGETIBACTER
403,OLSENELLA
404,MUCILAGINIBACTER
405,PEDOBACTER
406,BARNESIELLA
407,LACTOBACILLUS
408,CHRISTENSENELLACEAE_R-7_GROUP
409,LACHNOSPIRACEAE_NK3A20_GROUP
410,ANAEROBACTERIUM
411,TYZZERELLA
414,ANAEROBACTERIUM
416,SUCCINATIMONAS
421,BACILLUS
422,BACILLUS
423,CLOSTRIDIALES_VADINBB60_GROUP_GENUS
425,RUMINOCOCCACEAE_GENUS
426,OCEANOBACILLUS
427,FLAVOBACTERIUM
428,BACILLUS
430,PREVOTELLA
431,LACTOBACILLUS
432,HALOCELLA
434,MARINILABIACEAE_GENUS
435,RHODOPLANES
437,BLAUTIA
438,RHODOSPIRILLACEAE_GENUS
440,LACTOBACILLUS
441,SODALIS
442,LACTOBACILLUS
443,THERMOGUTTA
444,CHRISTENSENELLACEAE_R-7_GROUP
445,BLAUTIA
446,BLAUTIA
447,ROSEOMONAS
448,PREVOTELLA
449,BACTEROIDETES_GENUS
450,PROPIONIVIBRIO
451,ANAEROVORAX
453,PROSTHECOMICROBIUM
454,MOBILITALEA
455,ARCOBACTER
459,LEWINELLA
460,HALISCOMENOBACTER
461,DEPENDENTIAE_[TM6]_GENUS
462,THIOCLAVA
463,PYRINOMONAS
464,PROTEINICLASTICUM
465,CLOSTRIDIALES_VADINBB60_GROUP_GENUS
467,LACTOBACILLUS
468,LACTOBACILLUS
470,CHLOROGLOEOPSIS
472,FLAVONIFRACTOR
474,LUTEOLIBACTER
475,LUTEOLIBACTER
477,FCPU426_GENUS
478,PALUDIBACTER
479,DESULFARCULACEAE_GENUS
480,STREPTOCOCCUS
485,SULFUROVUM
486,GEOFILUM
488,CORIOBACTERIACEAE_GENUS
