sequence_origin,primers_origin,selected_primer,taxonomy_level,dimension,k_mer,vector_max_size,out_channel_1,out_channel_2,kernel_size_1_W,kernel_size_2_W,max_pool_stride_1_W,max_pool_stride_2_W,n_epochs,learning_rate,accuracy,training_time
DairyDB,DairyDB,V4,5,2,1,300,32,32,7,7,7,7,50,0.001,0.469242501270971,432.2658541202545
DairyDB,DairyDB,V4,5,2,1,300,32,64,7,7,7,7,50,0.001,0.5409252669039146,509.55651426315313
DairyDB,DairyDB,V4,5,2,1,300,45,90,7,7,7,7,50,0.001,0.581596339603457,665.2362747192383
DairyDB,DairyDB,V4,5,2,1,300,45,45,7,7,7,7,50,0.001,0.4997458057956279,553.1964914798737
DairyDB,DairyDB,V4,5,2,1,300,64,128,7,7,7,7,50,0.001,0.5932892730045755,931.6259624958037
DairyDB,DairyDB,V4,5,2,1,300,32,64,5,5,5,5,50,0.001,0.5460091509913574,562.8230707645416
DairyDB,DairyDB,V4,5,2,1,300,45,90,5,5,5,5,50,0.001,0.5602440264361973,743.7137804031372
DairyDB,DairyDB,V4,5,2,1,300,45,45,5,5,5,5,50,0.001,0.5119471276054905,592.9865524768828
DairyDB,DairyDB,V4,5,2,1,300,64,128,5,5,5,5,50,0.001,0.6014234875444839,975.4851434230804
DairyDB,DairyDB,V4,5,2,1,300,64,128,10,10,5,5,50,0.001,0.6293848500254194,1148.312643289566
DairyDB,DairyDB,V4,5,2,1,300,128,254,5,5,10,10,50,0.001,0.6222674123029995,1613.3949790000916
DairyDB,DairyDB,V4,5,2,1,300,64,128,10,10,5,5,50,0.001,0.6090493136756482,1077.5598948001864
DairyDB,DairyDB,V4,5,2,1,300,128,254,5,5,10,10,50,0.001,0.6253177427554651,1617.7563588619232
DairyDB,DairyDB,V4,5,2,1,300,128,254,5,13,5,13,50,0.001,0.6120996441281139,2517.593207359314
DairyDB,DairyDB,V4,5,2,1,300,128,254,5,20,5,20,50,0.001,0.6288764616166751,2765.8285479545593
DairyDB,DairyDB,V4,5,2,1,300,128,254,7,13,7,13,50,0.001,0.6156583629893239,2111.7631607055664
DairyDB,DairyDB,V4,5,2,1,300,128,254,7,20,7,20,50,0.001,0.6054905948144382,2270.686773777008
DairyDB,DairyDB,V4,5,2,1,300,254,254,5,30,5,15,50,0.001,0.6202338586680224,4704.733530044557
DairyDB,DairyDB,V4,5,2,1,300,254,254,5,30,5,30,50,0.001,0.632435180477885,4667.875505208969
DairyDB,DairyDB,V4,5,2,1,300,64,64,5,5,5,5,50,0.001,0.5302547770700637,161.04787874221805
DairyDB,DairyDB,V4,5,2,1,300,254,254,5,5,5,5,50,0.001,0.5753715498938429,472.79032373428345
DairyDB,DairyDB,V4,5,2,1,300,512,512,5,5,5,5,50,0.001,0.5902335456475584,1091.0199770927431
DairyDB,DairyDB,V4,5,2,1,300,64,64,5,12,5,6,50,0.001,0.5759023354564756,171.19018602371216
DairyDB,DairyDB,V4,5,2,1,300,128,128,5,12,5,6,50,0.001,0.6056263269639066,273.5890998840332
DairyDB,DairyDB,V4,5,2,1,300,254,254,5,12,5,6,50,0.001,0.6321656050955414,598.5161845684053
DairyDB,DairyDB,V4,5,2,1,300,300,300,8,10,4,5,50,0.001,0.6353503184713376,861.5042762756348
DairyDB,DairyDB,V4,5,2,1,300,400,400,8,8,8,8,50,0.001,0.6231422505307855,759.4304339885713
DairyDB,DairyDB,V4,5,2,1,300,400,400,8,15,8,15,50,0.001,0.6316348195329087,1044.4570298194883
DairyDB,DairyDB,V4,5,2,1,270,100,100,5,10,5,10,50,0.001,0.5605095541401274,228.7793095111847
DairyDB,DairyDB,V4,5,2,1,270,200,200,5,10,5,10,50,0.001,0.5950106157112527,383.07672476768494
DairyDB,DairyDB,V4,5,2,1,270,300,300,5,10,5,10,50,0.001,0.6247346072186837,653.6830868721007
DairyDB,DairyDB,V4,5,2,1,270,400,400,5,10,5,10,50,0.001,0.6061571125265393,959.1835136413574
DairyDB,DairyDB,V4,5,2,1,270,300,300,5,15,5,15,50,0.001,0.6072186836518046,846.6316184997559
DairyDB,DairyDB,V4,5,2,1,270,400,400,5,15,5,15,50,0.001,0.6029723991507431,1295.8373892307281
