HyperVariable Region,Taxonomy Rank to be classified,Test Size,Main Class prop,Naive Bayes - NB(1),Naive Bayes - NB(2),Naive Bayes - NB(3),Naive Bayes - NB(4),Naive Bayes - NB(5)
V2,0,1223,1.0,1.0,1.0,1.0,1.0,1.0
V3,0,1720,1.0,1.0,1.0,1.0,1.0,1.0
V4,0,1887,0.9979421221864951,0.9989401165871754,0.9984101748807631,0.9994700582935877,0.9989401165871754,0.9989401165871754
V5,0,1523,1.0,1.0,1.0,1.0,1.0,1.0
V6,0,24,1.0,1.0,1.0,1.0,1.0,1.0
V7,0,1005,1.0,1.0,1.0,1.0,1.0,1.0
V8,0,734,1.0,1.0,1.0,1.0,1.0,1.0
V2,1,1218,0.5141266240461951,0.6420361247947455,0.7733990147783252,0.8604269293924467,0.8908045977011494,0.8243021346469622
V3,1,1701,0.4114161849710983,0.5873015873015873,0.7454438565549677,0.8571428571428572,0.8283362727807172,0.8306878306878307
V4,1,1946,0.38608087091757387,0.4886947584789312,0.6654676258992807,0.81551901336074,0.8252826310380267,0.7219938335046249
V5,1,1518,0.445060164661178,0.5177865612648221,0.7213438735177866,0.8945981554677207,0.7753623188405797,0.8965744400527009
V6,1,33,0.991304347826087,1.0,1.0,1.0,1.0,1.0
V7,1,975,0.46308724832214765,0.5507692307692308,0.762051282051282,0.882051282051282,0.7661538461538462,0.8225641025641026
V8,1,649,0.5242652084757348,0.5331278890600925,0.6440677966101696,0.8674884437596302,0.7519260400616332,0.6224961479198767
V2,2,1197,0.3811088295687885,0.49624060150375937,0.7017543859649122,0.8471177944862156,0.8663324979114453,0.7794486215538847
V3,2,1714,0.2933256116982771,0.4422403733955659,0.6925320886814469,0.8582263710618436,0.851808634772462,0.7742123687281214
V4,2,1977,0.27208848405985686,0.33535660091047037,0.6130500758725341,0.842185128983308,0.7759231158320687,0.7172483560950935
V5,2,1590,0.32110826393337605,0.4345911949685535,0.689308176100629,0.8345911949685535,0.7874213836477988,0.7566037735849056
V6,2,30,1.0,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667
