HyperVariable Region,Taxonomy Rank to be classified,Test Size,Main Class prop,Naive Bayes - NB(1),Naive Bayes - NB(2),Naive Bayes - NB(3),Naive Bayes - NB(4),Naive Bayes - NB(5)
V1,0,470,1.0,1.0,1.0,1.0,1.0,1.0
V2,0,1222,1.0,1.0,1.0,1.0,1.0,1.0
V3,0,1798,1.0,1.0,1.0,1.0,1.0,1.0
V4,0,1943,0.9896784438269154,0.9794132784354092,0.9938239835306227,0.9994853319608852,1.0,0.9948533196088523
V5,0,1778,1.0,1.0,1.0,1.0,1.0,1.0
V6,0,1753,1.0,1.0,1.0,1.0,1.0,1.0
V7,0,1926,1.0,1.0,1.0,1.0,1.0,1.0
V8,0,1544,1.0,1.0,1.0,1.0,1.0,1.0
V9,0,575,0.9896093100581879,0.9878260869565217,0.9930434782608696,0.9947826086956522,0.9930434782608696,0.991304347826087
V12,0,750,1.0,1.0,1.0,1.0,1.0,1.0
V23,0,1142,1.0,1.0,1.0,1.0,1.0,1.0
V34,0,1882,1.0,1.0,1.0,1.0,1.0,1.0
V45,0,1780,1.0,1.0,1.0,1.0,1.0,1.0
V56,0,1857,0.9994612068965517,0.9886914378029079,0.9978459881529348,0.9994614970382337,0.9994614970382337,0.9994614970382337
V67,0,1830,1.0,1.0,1.0,1.0,1.0,1.0
V78,0,1628,0.9940975458216837,0.9864864864864865,0.9963144963144963,0.9993857493857494,1.0,0.9938574938574939
V89,0,597,1.0,1.0,1.0,1.0,1.0,1.0
sequence,0,2072,0.9900204400625225,0.974903474903475,0.9657335907335908,0.9927606177606177,0.9995173745173745,1.0
V1,1,462,0.5759162303664922,0.6082251082251082,0.6601731601731602,0.5541125541125541,0.6731601731601732,0.6753246753246753
V2,1,1148,0.5080906148867314,0.647212543554007,0.7735191637630662,0.8588850174216027,0.8850174216027875,0.8310104529616724
V3,1,1756,0.4035316254161239,0.5996583143507972,0.7226651480637813,0.8530751708428246,0.8132118451025057,0.8223234624145785
V4,1,1880,0.39199475065616796,0.5393617021276595,0.6526595744680851,0.8627659574468085,0.8856382978723404,0.8095744680851064
V5,1,1855,0.41678663979268643,0.47008086253369274,0.6808625336927223,0.8522911051212938,0.7202156334231806,0.8587601078167115
V6,1,1812,0.4149203688181056,0.4718543046357616,0.7130242825607064,0.8830022075055187,0.7831125827814569,0.7919426048565121
V7,1,1857,0.40088757396449703,0.43995691976305873,0.5939687668282175,0.6144318793753365,0.43080236941303174,0.696822832525579
V8,1,1622,0.39791332263242374,0.4926017262638718,0.6356350184956843,0.8057953144266338,0.7484586929716399,0.8020961775585697
V9,1,593,0.3844221105527638,0.49409780775716694,0.7824620573355818,0.718381112984823,0.6458684654300169,0.7706576728499157
V12,1,735,0.43854748603351956,0.4625850340136054,0.6489795918367347,0.817687074829932,0.9034013605442177,0.8462585034013606
V23,1,1173,0.5296703296703297,0.6760443307757886,0.7860187553282183,0.8712702472293266,0.9292412617220801,0.9147485080988917
V34,1,1790,0.3876374363100027,0.5648044692737431,0.7033519553072626,0.8748603351955307,0.9430167597765363,0.8972067039106145
V45,1,1734,0.4137358072556079,0.5259515570934257,0.6585928489042676,0.8638985005767013,0.9261822376009228,0.8944636678200693
V56,1,1840,0.40209649240693457,0.4739130434782609,0.7239130434782608,0.8880434782608696,0.9201086956521739,0.8994565217391304
V67,1,1698,0.4176627759808747,0.47938751472320373,0.7120141342756183,0.8969375736160189,0.9157832744405182,0.8828032979976443
V78,1,1665,0.38790813935322604,0.5039039039039039,0.6372372372372372,0.8600600600600601,0.824024024024024,0.8342342342342343
V89,1,537,0.3932683790965456,0.5083798882681565,0.6834264432029795,0.8975791433891993,0.8770949720670391,0.8621973929236499
sequence,1,2058,0.37498499579882366,0.4873663751214772,0.6156462585034014,0.7993197278911565,0.9178814382896016,0.9465500485908649
V1,2,487,0.4716180371352785,0.5174537987679672,0.6509240246406571,0.6365503080082136,0.6283367556468172,0.6632443531827515
V2,2,1232,0.38497942386831274,0.49837662337662336,0.6923701298701299,0.8555194805194806,0.859577922077922,0.7686688311688312
V3,2,1739,0.29410915391279235,0.4140310523289247,0.6912018401380103,0.8786658999424957,0.8142610695802185,0.765382403680276
V4,2,1886,0.272655634357762,0.37645811240721105,0.6113467656415694,0.887592788971368,0.8844114528101803,0.764050901378579
V5,2,1814,0.2921139258623157,0.3710033076074972,0.6499448732083792,0.7949283351708931,0.7684674751929438,0.7127894156560088
V6,2,1798,0.2928053541550474,0.3548387096774194,0.6162402669632925,0.8186874304783092,0.7308120133481646,0.7002224694104561
V7,2,1840,0.2843150409231182,0.3282608695652174,0.5945652173913043,0.6233695652173913,0.491304347826087,0.6570652173913043
V8,2,1581,0.27810556530059,0.3738140417457305,0.6312460468058191,0.8228969006957622,0.6609740670461732,0.7223276407337129
V9,2,609,0.23988195615514335,0.37110016420361247,0.6814449917898193,0.6568144499178982,0.6239737274220033,0.6436781609195402
V12,2,715,0.3484743411927878,0.35244755244755244,0.5454545454545454,0.8055944055944055,0.8671328671328671,0.7314685314685314
V23,2,1160,0.3822046898969976,0.4991379310344828,0.6991379310344827,0.8836206896551724,0.9275862068965517,0.8456896551724138
V34,2,1883,0.28228105906313644,0.4115772703133298,0.665958576739246,0.8890069038767924,0.9229952203929899,0.8274030801911842
V45,2,1734,0.28800886181113267,0.40426758938869667,0.6332179930795847,0.8760092272203,0.9146482122260668,0.8033448673587082
V56,2,1865,0.2820927723840345,0.3882037533512064,0.735656836461126,0.896514745308311,0.8836461126005362,0.7978552278820376
V67,2,1732,0.29786632753991804,0.3700923787528868,0.6172055427251733,0.8620092378752887,0.8648960739030023,0.7551963048498845
V78,2,1608,0.26649117373799935,0.4185323383084577,0.6026119402985075,0.8594527363184079,0.8277363184079602,0.7649253731343284
V89,2,548,0.24922118380062305,0.38138686131386856,0.6478102189781022,0.8521897810218978,0.7974452554744526,0.6587591240875912
sequence,2,2039,0.2675449101796407,0.3555664541441883,0.5316331535066209,0.7837175085826386,0.9053457577243746,0.8940657184894556
V1,3,480,0.4704016913319239,0.4541666666666667,0.5854166666666667,0.3520833333333333,0.5729166666666667,0.5770833333333334
V2,3,1232,0.37448559670781895,0.41233766233766234,0.627435064935065,0.801948051948052,0.752435064935065,0.5868506493506493
V3,3,1732,0.28414827635944034,0.37528868360277134,0.6426096997690531,0.8019630484988453,0.7055427251732102,0.5987297921478061
V4,3,1896,0.26841136244082064,0.3248945147679325,0.5627637130801688,0.8190928270042194,0.7584388185654009,0.614451476793249
V5,3,1727,0.2917726887192536,0.32831499710480605,0.6213086276780544,0.7151129125651419,0.677475390851187,0.6543138390272148
V6,3,1693,0.2876185241170812,0.3077377436503249,0.5475487300649734,0.7542823390431187,0.6320141760189013,0.5634967513290018
V7,3,1894,0.2817948371401541,0.24445617740232317,0.48468848996832103,0.4799366420274551,0.454065469904963,0.6425554382259768
V8,3,1586,0.26540057452920524,0.3266078184110971,0.564312736443884,0.7654476670870114,0.6607818411097099,0.6002522068095839
