HyperVariable Region,Taxonomy Rank to be classified,Test Size,Main Class prop,Naive Bayes - NB(1),Naive Bayes - NB(2),Naive Bayes - NB(3),Naive Bayes - NB(4),Naive Bayes - NB(5)
V1,0,986,1.0,1.0,1.0,1.0,1.0,1.0
V2,0,2417,1.0,1.0,1.0,1.0,1.0,1.0
V3,0,3480,1.0,1.0,1.0,1.0,1.0,1.0
V4,0,3868,0.9892942109436955,0.9780248190279214,0.9894002068252327,0.9945708376421923,0.999741468459152,0.9989658738366081
V5,0,3592,1.0,1.0,1.0,1.0,1.0,1.0
V6,0,3515,1.0,1.0,1.0,1.0,1.0,1.0
V7,0,3667,1.0,1.0,1.0,1.0,1.0,1.0
V8,0,3183,1.0,1.0,1.0,1.0,1.0,1.0
V9,0,1073,0.9905911229290243,0.9878844361602982,0.9925442684063374,0.994408201304753,0.9916123019571296,1.0
V12,0,1405,1.0,1.0,1.0,1.0,1.0,1.0
V23,0,2293,1.0,1.0,1.0,1.0,1.0,1.0
V34,0,3643,1.0,1.0,1.0,1.0,1.0,1.0
V45,0,3513,1.0,1.0,1.0,1.0,1.0,1.0
V56,0,3762,0.999527027027027,0.9933545986177565,0.9960127591706539,1.0,1.0,1.0
V67,0,3547,1.0,1.0,1.0,1.0,1.0,1.0
V78,0,3198,0.9937374362146281,0.9881175734834271,0.9946841776110069,1.0,1.0,0.9993746091307066
V89,0,1101,1.0,1.0,1.0,1.0,1.0,1.0
sequence,0,9549,0.9777547440599585,0.9750759241805425,0.9524557545292701,0.9271127866792335,0.9060634621426328,0.9019792648444863
V1,1,911,0.5789199060787895,0.6103183315038418,0.703622392974753,0.6169045005488474,0.686059275521405,0.8386388583973655
V2,1,2363,0.5091131249363609,0.6343630977570884,0.7850190435886585,0.8861616589081676,0.917054591620821,0.9043588658484977
V3,1,3433,0.4060588616248111,0.5840372851733178,0.7302650742790562,0.863093504223711,0.8782406058840664,0.8986309350422371
V4,1,3742,0.3860925416175121,0.5400855157669695,0.6707642971672902,0.8773383217530732,0.9163548904329235,0.8837520042757884
V5,1,3502,0.4187943262411348,0.48058252427184467,0.6876070816676185,0.8669331810394061,0.7712735579668761,0.9331810394060537
V6,1,3643,0.40931663985451494,0.4927257754597859,0.7340104309634916,0.8863573977491079,0.850123524567664,0.8578094976667582
V7,1,3701,0.39711118575747395,0.4720345852472305,0.5920021615779518,0.6554985139151581,0.45663334233990815,0.7479059713590921
V8,1,3104,0.4037301587301587,0.4693943298969072,0.6227448453608248,0.7941365979381443,0.742590206185567,0.8266752577319587
V9,1,1186,0.3833752093802345,0.5016863406408094,0.7740303541315345,0.7436762225969646,0.6880269814502529,0.9123102866779089
V12,1,1427,0.4399584127534223,0.4456902592852138,0.641906096706377,0.818500350385424,0.925718290119131,0.9187105816398038
V23,1,2266,0.5259259259259259,0.6804942630185349,0.7709620476610768,0.881729920564872,0.9571932921447485,0.9514563106796117
V34,1,3729,0.38938172953206474,0.5765620809868597,0.7138643067846608,0.8798605524269241,0.9533386967015286,0.942343791901314
V45,1,3696,0.4144625773776027,0.5543831168831168,0.6818181818181819,0.8787878787878788,0.9531926406926406,0.9499458874458875
V56,1,3637,0.40113902847571187,0.45834478966180914,0.7349463843827331,0.9026670332691779,0.9474841902667033,0.9392356337640912
V67,1,3517,0.4127366853414651,0.48791583736138755,0.7068524310491897,0.8785897071367643,0.938015353994882,0.9411430196189935
V78,1,3172,0.39112654320987655,0.5075662042875158,0.650063051702396,0.8811475409836066,0.862547288776797,0.8783102143757882
V89,1,1122,0.39905998209489707,0.5071301247771836,0.7361853832442068,0.9171122994652406,0.9322638146167558,0.9590017825311943
