HyperVariable Region,Taxonomy Rank to be classified,Test Size,Main Class prop,Naive Bayes - NB(1)
V1,0,479,1.0,1.0
V2,0,1246,1.0,1.0
V3,0,1748,1.0,1.0
V4,0,1901,0.9897354915120411,0.9742240925828511
V5,0,1781,1.0,1.0
V6,0,1830,1.0,1.0
V7,0,1866,1.0,1.0
V8,0,1566,1.0,1.0
V9,0,609,0.9898819561551433,0.9885057471264368
V12,0,767,1.0,1.0
V23,0,1169,1.0,1.0
V34,0,1885,1.0,1.0
V45,0,1828,1.0,1.0
V56,0,1830,0.9993289491343443,0.9934426229508196
V67,0,1765,1.0,1.0
V78,0,1572,0.993994456421312,0.9910941475826972
V89,0,524,1.0,1.0
sequence,0,2055,0.9889608831293496,0.9717761557177615
V1,1,479,0.5868991019545695,0.605427974947808
V2,1,1243,0.5159826768405857,0.6436041834271923
V3,1,1715,0.40575539568345326,0.5900874635568514
V4,1,1891,0.38993297410960703,0.5399259650978319
V5,1,1798,0.41953448522061976,0.46051167964404893
V6,1,1787,0.4083252123068356,0.48181309457190824
V7,1,1830,0.4007771673589709,0.46557377049180326
V8,1,1555,0.40003176115610606,0.4758842443729904
V9,1,621,0.3805084745762712,0.49275362318840576
V12,1,699,0.4437931034482759,0.4406294706723891
V23,1,1157,0.5236530880420499,0.6802074330164218
V34,1,1867,0.3914103779975613,0.5591858596679165
V45,1,1798,0.41003073484213465,0.5567296996662958
V56,1,1854,0.40325838158071897,0.4525350593311759
V67,1,1724,0.4180663373323924,0.47157772621809746
V78,1,1557,0.3965278844676602,0.46499678869621064
V89,1,542,0.3985796715490457,0.514760147601476
sequence,1,2087,0.37496988677427123,0.4753234307618591
V1,2,447,0.4841558441558442,0.4541387024608501
V2,2,1200,0.38348323793949307,0.4866666666666667
V3,2,1778,0.29170901698852914,0.4167604049493814
V4,2,1854,0.2775307350248496,0.35922330097087374
V5,2,1790,0.29510768791898445,0.36312849162011174
V6,2,1748,0.2927166989753531,0.3695652173913043
V7,2,1894,0.28382213812677387,0.33526927138331575
V8,2,1588,0.27522349936143037,0.3639798488664987
V9,2,605,0.23695286195286194,0.3355371900826446
V12,2,712,0.3588500173190163,0.3356741573033708
V23,2,1167,0.3931079894644425,0.48500428449014565
V34,2,1859,0.2833942346731628,0.39860139860139865
V45,2,1797,0.2912417935465847,0.4151363383416806
V56,2,1877,0.2787682333873582,0.3867874267448056
V67,2,1824,0.29749463135289905,0.35581140350877194
V78,2,1589,0.26910606762389994,0.38451856513530525
V89,2,546,0.2432192085371276,0.4285714285714286
sequence,2,2086,0.2655666626520535,0.3619367209971237
V1,3,493,0.4773815859499734,0.436105476673428
V2,3,1199,0.3735949315348457,0.4203502919099249
V3,3,1759,0.2878656240949899,0.36554860716316084
V4,3,1834,0.2704148186798852,0.3309705561613958
V5,3,1741,0.288385269121813,0.32337736932797245
V6,3,1826,0.28653415453527437,0.3138006571741512
V7,3,1813,0.2822192513368984,0.24379481522338664
V8,3,1534,0.27033871478315924,0.2992177314211213
V9,3,610,0.23028258118937156,0.24918032786885247
V12,3,707,0.3454356846473029,0.306930693069307
V23,3,1089,0.389943892965041,0.4168962350780533
V34,3,1858,0.27374830852503385,0.3611410118406889
V45,3,1721,0.2866620594333103,0.35095874491574663
V56,3,1859,0.2770142818647265,0.33835395373856914
V67,3,1767,0.2898324339676228,0.3316355404640634
V78,3,1620,0.26186782500775674,0.35185185185185186
V89,3,543,0.23978685612788633,0.30570902394106814
sequence,3,2110,0.2613842251479647,0.32464454976303314
V1,4,505,0.17514729512587038,0.17821782178217827
V2,4,1258,0.1280513032685147,0.2082670906200318
V3,4,1722,0.10154112055307504,0.22764227642276424
V4,4,1938,0.09415498545358371,0.18833849329205365
V5,4,1729,0.1016685520361991,0.20011567379988437
V6,4,1821,0.09847531123234018,0.18561230093355296
V7,4,1845,0.0984156820622986,0.13875338753387534
V8,4,1532,0.09240506329113925,0.1742819843342036
V9,4,634,0.06945036216446528,0.14353312302839116
V12,4,696,0.1350327247674819,0.16091954022988508
V23,4,1213,0.12749445676274945,0.2539159109645507
V34,4,1834,0.09819260857836526,0.22682660850599778
V45,4,1840,0.10160202360876897,0.21684782608695652
V56,4,1824,0.09843100442537213,0.19243421052631582
V67,4,1814,0.10135811293781272,0.20011025358324142
V78,4,1616,0.09085271317829458,0.19863861386138615
V89,4,546,0.07203201422854602,0.15201465201465203
sequence,4,2061,0.09546109510086455,0.1770984958757884
V1,5,478,0.06916578669482576,0.06485355648535562
V2,5,1254,0.054981397271599834,0.10287081339712922
V3,5,1750,0.03571945046999277,0.09485714285714286
V4,5,1884,0.03243172268907563,0.0997876857749469
V5,5,1779,0.037453716889774995,0.0708263069139966
V6,5,1806,0.036711334450027916,0.07475083056478404
V7,5,1810,0.03461178671655753,0.051933701657458586
V8,5,1547,0.03505154639175258,0.06528765352294763
V9,5,604,0.0340765671013883,0.06622516556291391
V12,5,709,0.04636678200692042,0.07475317348377997
V23,5,1122,0.054988046076939794,0.12388591800356508
V34,5,1863,0.03656059580230196,0.13741277509393457
V45,5,1796,0.03477653631284916,0.13752783964365256
V56,5,1847,0.036588646758138284,0.09528965890633456
V67,5,1804,0.03754461099214847,0.09035476718403546
V78,5,1608,0.03081449365128523,0.1100746268656716
V89,5,602,0.03191974464204286,0.13953488372093026
sequence,5,2093,0.03363066538090646,0.11084567606306739
V1,6,484,0.07309322033898305,0.04132231404958675
V2,6,1217,0.05374358974358975,0.07806080525883319
V3,6,1736,0.03564727954971857,0.05990783410138245
V4,6,1874,0.03396275898242854,0.06029882604055492
V5,6,1769,0.03896473265073948,0.04013566986998307
