HyperVariable Region,Taxonomy Rank to be classified,Test Size,Main Class prop,Naive Bayes - NB(1)
V1,0,986,1.0,1.0
V2,0,2417,1.0,1.0
V3,0,3480,1.0,1.0
V4,0,3868,0.9892942109436955,0.9780248190279214
V5,0,3592,1.0,1.0
V6,0,3515,1.0,1.0
V7,0,3667,1.0,1.0
V8,0,3183,1.0,1.0
V9,0,1073,0.9905911229290243,0.9878844361602982
V12,0,1405,1.0,1.0
V23,0,2293,1.0,1.0
V34,0,3643,1.0,1.0
V45,0,3513,1.0,1.0
V56,0,3762,0.999527027027027,0.9933545986177565
V67,0,3547,1.0,1.0
V78,0,3198,0.9937374362146281,0.9881175734834271
V89,0,1101,1.0,1.0
sequence,0,9549,0.9777547440599585,0.9750759241805425
V1,1,911,0.5789199060787895,0.6103183315038418
V2,1,2363,0.5091131249363609,0.6343630977570884
V3,1,3433,0.4060588616248111,0.5840372851733178
V4,1,3742,0.3860925416175121,0.5400855157669695
V5,1,3502,0.4187943262411348,0.48058252427184467
V6,1,3643,0.40931663985451494,0.4927257754597859
V7,1,3701,0.39711118575747395,0.4720345852472305
V8,1,3104,0.4037301587301587,0.4693943298969072
V9,1,1186,0.3833752093802345,0.5016863406408094
V12,1,1427,0.4399584127534223,0.4456902592852138
V23,1,2266,0.5259259259259259,0.6804942630185349
V34,1,3729,0.38938172953206474,0.5765620809868597
V45,1,3696,0.4144625773776027,0.5543831168831168
V56,1,3637,0.40113902847571187,0.45834478966180914
V67,1,3517,0.4127366853414651,0.48791583736138755
V78,1,3172,0.39112654320987655,0.5075662042875158
V89,1,1122,0.39905998209489707,0.5071301247771836
sequence,1,9351,0.32526647094607103,0.33547214201689657
V1,2,908,0.4859228362877998,0.49339207048458145
V2,2,2531,0.3833005283331607,0.49466613986566577
V3,2,3447,0.28805013325650075,0.45169712793733685
V4,2,3841,0.2742924995052444,0.3611038791981255
V5,2,3555,0.2935146294582473,0.3583684950773558
V6,2,3593,0.29358053948560675,0.3448371834121904
V7,2,3711,0.28652100840336137,0.33764483966585823
V8,2,3182,0.278789330777831,0.34726587052168445
V9,2,1147,0.23447559709241952,0.37489102005231034
V12,2,1423,0.3471861471861472,0.365425158116655
V23,2,2254,0.38870757180156656,0.4991126885536823
V34,2,3829,0.28131178836844617,0.39253068686341086
V45,2,3556,0.2917943716912789,0.40382452193475815
V56,2,3664,0.2819170358437374,0.3780021834061136
V67,2,3564,0.2955030596271524,0.3737373737373737
V78,2,3228,0.2671264724116553,0.40954151177199505
V89,2,1145,0.25241844769403826,0.4069868995633188
sequence,2,9479,0.23759763282062218,0.21552906424728346
V1,3,913,0.4792482380579483,0.46549835706462217
V2,3,2470,0.3792464484249537,0.40364372469635623
V3,3,3417,0.28369151153597355,0.38074334211296457
V4,3,3722,0.27130514465244143,0.32966147232670606
V5,3,3546,0.2896983494593056,0.3265651438240271
V6,3,3654,0.2852442951140977,0.3308702791461412
V7,3,3705,0.2804919024259122,0.24588394062078267
V8,3,3160,0.2671396683673469,0.30284810126582273
V9,3,1200,0.2255354892902142,0.2975
V12,3,1425,0.3473064264680409,0.33122807017543865
V23,3,2245,0.3848494728833822,0.4311804008908686
V34,3,3662,0.2730888499393286,0.3689240851993446
V45,3,3654,0.2837003787347454,0.367816091954023
V56,3,3755,0.27817923954886203,0.34434087882822906
V67,3,3580,0.2904259866077789,0.3307262569832402
V78,3,3335,0.2620145346565601,0.34152923538230884
V89,3,1128,0.2429403854773644,0.3377659574468085
sequence,3,9168,0.2366507828454731,0.2066972076788831
V1,4,912,0.1693632567849687,0.23793859649122806
V2,4,2476,0.1295838483724763,0.2613085621970921
V3,4,3495,0.10495121069750632,0.24606580829756797
V4,4,3763,0.0966725733412089,0.20515546106829652
V5,4,3596,0.10152791660716835,0.19938820912124577
V6,4,3534,0.10134666111342497,0.21052631578947367
V7,4,3650,0.09728173540439207,0.16000000000000003
V8,4,3139,0.09176283326701154,0.1889136667728576
V9,4,1159,0.06620861961274203,0.16393442622950816
V12,4,1482,0.13296011196641008,0.20242914979757087
V23,4,2305,0.1284323378186194,0.2837310195227766
V34,4,3736,0.09905149051490515,0.24732334047109206
V45,4,3631,0.10097332119599468,0.23712475901955388
V56,4,3693,0.09798910484901473,0.2109396154887625
V67,4,3444,0.10491039932270355,0.20963995354239262
V78,4,3212,0.09117647058823529,0.22447073474470736
V89,4,1088,0.07507774322523322,0.23253676470588236
sequence,4,8425,0.07323734599970314,0.0823738872403561
