HyperVariable Region,Taxonomy Rank to be classified,Test Size,Main Class prop,Naive Bayes - NB()
V1,0,470,1.0,1.0
V2,0,1222,1.0,1.0
V3,0,1798,1.0,1.0
V4,0,1943,0.9896784438269154,0.9938239835306227
V5,0,1778,1.0,1.0
V6,0,1753,1.0,1.0
V7,0,1926,1.0,1.0
V8,0,1544,1.0,1.0
V9,0,575,0.9896093100581879,0.9930434782608696
V12,0,750,1.0,1.0
V23,0,1142,1.0,1.0
V34,0,1882,1.0,1.0
V45,0,1780,1.0,1.0
V56,0,1857,0.9994612068965517,0.9978459881529348
V67,0,1830,1.0,1.0
V78,0,1628,0.9940975458216837,0.9963144963144963
V89,0,597,1.0,1.0
sequence,0,2072,0.9900204400625225,0.9657335907335908
V1,1,462,0.5759162303664922,0.6601731601731602
V2,1,1148,0.5080906148867314,0.7735191637630662
V3,1,1756,0.4035316254161239,0.7226651480637813
V4,1,1880,0.39199475065616796,0.6526595744680851
V5,1,1855,0.41678663979268643,0.6808625336927223
V6,1,1812,0.4149203688181056,0.7130242825607064
V7,1,1857,0.40088757396449703,0.5939687668282175
V8,1,1622,0.39791332263242374,0.6356350184956843
V9,1,593,0.3844221105527638,0.7824620573355818
V12,1,735,0.43854748603351956,0.6489795918367347
V23,1,1173,0.5296703296703297,0.7860187553282183
V34,1,1790,0.3876374363100027,0.7033519553072626
V45,1,1734,0.4137358072556079,0.6585928489042676
V56,1,1840,0.40209649240693457,0.7239130434782608
V67,1,1698,0.4176627759808747,0.7120141342756183
V78,1,1665,0.38790813935322604,0.6372372372372372
V89,1,537,0.3932683790965456,0.6834264432029795
sequence,1,2058,0.37498499579882366,0.6156462585034014
V1,2,487,0.4716180371352785,0.6509240246406571
V2,2,1232,0.38497942386831274,0.6923701298701299
V3,2,1739,0.29410915391279235,0.6912018401380103
V4,2,1886,0.272655634357762,0.6113467656415694
V5,2,1814,0.2921139258623157,0.6499448732083792
V6,2,1798,0.2928053541550474,0.6162402669632925
V7,2,1840,0.2843150409231182,0.5945652173913043
V8,2,1581,0.27810556530059,0.6312460468058191
V9,2,609,0.23988195615514335,0.6814449917898193
V12,2,715,0.3484743411927878,0.5454545454545454
V23,2,1160,0.3822046898969976,0.6991379310344827
V34,2,1883,0.28228105906313644,0.665958576739246
V45,2,1734,0.28800886181113267,0.6332179930795847
V56,2,1865,0.2820927723840345,0.735656836461126
V67,2,1732,0.29786632753991804,0.6172055427251733
V78,2,1608,0.26649117373799935,0.6026119402985075
V89,2,548,0.24922118380062305,0.6478102189781022
sequence,2,2039,0.2675449101796407,0.5316331535066209
V1,3,480,0.4704016913319239,0.5854166666666667
V2,3,1232,0.37448559670781895,0.627435064935065
V3,3,1732,0.28414827635944034,0.6426096997690531
V4,3,1896,0.26841136244082064,0.5627637130801688
V5,3,1727,0.2917726887192536,0.6213086276780544
V6,3,1693,0.2876185241170812,0.5475487300649734
V7,3,1894,0.2817948371401541,0.48468848996832103
V8,3,1586,0.26540057452920524,0.564312736443884
V9,3,617,0.23223350253807107,0.5542949756888169
V12,3,745,0.350385423966363,0.5140939597315437
V23,3,1136,0.38739917157183346,0.6109154929577465
V34,3,1795,0.27264188917214544,0.6389972144846796
V45,3,1800,0.286472889882616,0.6111111111111112
V56,3,1890,0.27817616019483155,0.6476190476190475
V67,3,1755,0.293734051601928,0.5544159544159544
V78,3,1581,0.26522744795682346,0.5464895635673624
V89,3,602,0.24669402644778843,0.5598006644518272
sequence,3,2082,0.26375346093655955,0.5268972142170989
V1,4,461,0.17425431711145997,0.3492407809110629
V2,4,1232,0.1257201646090535,0.49756493506493504
V3,4,1763,0.10185453491741524,0.5422575155984117
V4,4,1926,0.09677845260100343,0.5171339563862929
V5,4,1742,0.10242243943901402,0.5683122847301951
V6,4,1788,0.10470620996936786,0.4832214765100671
V7,4,1819,0.09753813219159754,0.47828477185266627
V8,4,1568,0.09388924252068746,0.5102040816326531
V9,4,610,0.06916912695065373,0.440983606557377
V12,4,734,0.13054101221640488,0.4250681198910081
V23,4,1161,0.13064445418676018,0.5486649440137812
V34,4,1868,0.09769647696476964,0.5626338329764453
V45,4,1794,0.10011170064227869,0.5412486064659978
V56,4,1795,0.10165642532727759,0.5738161559888579
V67,4,1770,0.10228725671260122,0.4728813559322034
V78,4,1573,0.08840289542584322,0.5028607755880483
V89,4,548,0.07254116599910992,0.48357664233576647
sequence,4,2084,0.09524382901866346,0.4664107485604606
V1,5,505,0.0712372790573112,0.19999999999999996
V2,5,1199,0.0539546290619252,0.32360300250208507
V3,5,1729,0.037197231833910036,0.3689994216310005
V4,5,1967,0.03358555688304792,0.38332486019318757
V5,5,1727,0.03618886061634153,0.36421540243196293
V6,5,1792,0.03705767623293396,0.3035714285714286
V7,5,1839,0.03608800643949557,0.31973898858075045
V8,5,1597,0.03229416466826539,0.3731997495303695
V9,5,600,0.03359932801343973,0.2483333333333333
V12,5,714,0.04783362218370884,0.2633053221288515
V23,5,1136,0.050359712230215826,0.3688380281690141
V34,5,1801,0.035316234725392776,0.390893947806774
V45,5,1753,0.03776204359294738,0.39132915002852253
V56,5,1849,0.035252960172228204,0.37587885343428884
V67,5,1755,0.03813439183442019,0.33618233618233617
V78,5,1570,0.03278940886699507,0.3528662420382166
V89,5,562,0.03179579041648007,0.30604982206405695
sequence,5,2061,0.0335014409221902,0.3260553129548762
V1,6,509,0.0703166935050993,0.13163064833005889
V2,6,1268,0.05203150912106136,0.19006309148264988
V3,6,1684,0.03881965334479301,0.2434679334916865
V4,6,1906,0.03265736107453253,0.220881427072403
V5,6,1782,0.03818207721897706,0.24410774410774416
V6,6,1790,0.03440111420612813,0.2072625698324022
