HyperVariable Region;Taxonomy Rank to be classified;Test Size;Main Class prop;Naive Bayes - NB(3);Naive Bayes - NB(2);Naive Bayes - NB(0)
V1;0;470;1;1;1;1
V2;0;1222;1;1;1;1
V3;0;1798;1;1;1;1
V4;0;1943;0.989678444;0.999485332;0.993823984;0.979413278
V5;0;1778;1;1;1;1
V6;0;1753;1;1;1;1
V7;0;1926;1;1;1;1
V8;0;1544;1;1;1;1
V9;0;575;0.98960931;0.994782609;0.993043478;0.987826087
V12;0;750;1;1;1;1
V23;0;1142;1;1;1;1
V34;0;1882;1;1;1;1
V45;0;1780;1;1;1;1
V56;0;1857;0.999461207;0.999461497;0.997845988;0.988691438
V67;0;1830;1;1;1;1
V78;0;1628;0.994097546;0.999385749;0.996314496;0.986486486
V89;0;597;1;1;1;1
V1;1;462;0.57591623;0.554112554;0.66017316;0.608225108
V2;1;1148;0.508090615;0.858885017;0.773519164;0.647212544
V3;1;1756;0.403531625;0.853075171;0.722665148;0.599658314
V4;1;1880;0.391994751;0.862765957;0.652659574;0.539361702
V5;1;1855;0.41678664;0.852291105;0.680862534;0.470080863
V6;1;1812;0.414920369;0.883002208;0.713024283;0.471854305
V7;1;1857;0.400887574;0.614431879;0.593968767;0.43995692
V8;1;1622;0.397913323;0.805795314;0.635635018;0.492601726
V9;1;593;0.384422111;0.718381113;0.782462057;0.494097808
V12;1;735;0.438547486;0.817687075;0.648979592;0.462585034
V23;1;1173;0.52967033;0.871270247;0.786018755;0.676044331
V34;1;1790;0.387637436;0.874860335;0.703351955;0.564804469
V45;1;1734;0.413735807;0.863898501;0.658592849;0.525951557
V56;1;1840;0.402096492;0.888043478;0.723913043;0.473913043
V67;1;1698;0.417662776;0.896937574;0.712014134;0.479387515
V78;1;1665;0.387908139;0.86006006;0.637237237;0.503903904
V89;1;537;0.393268379;0.897579143;0.683426443;0.508379888
V1;2;487;0.471618037;0.636550308;0.650924025;0.517453799
V2;2;1232;0.384979424;0.855519481;0.69237013;0.498376623
V3;2;1739;0.294109154;0.8786659;0.69120184;0.414031052
V4;2;1886;0.272655634;0.887592789;0.611346766;0.376458112
V5;2;1814;0.292113926;0.794928335;0.649944873;0.371003308
V6;2;1798;0.292805354;0.81868743;0.616240267;0.35483871
V7;2;1840;0.284315041;0.623369565;0.594565217;0.32826087
V8;2;1581;0.278105565;0.822896901;0.631246047;0.373814042
V9;2;609;0.239881956;0.65681445;0.681444992;0.371100164
V12;2;715;0.348474341;0.805594406;0.545454545;0.352447552
V23;2;1160;0.38220469;0.88362069;0.699137931;0.499137931
V34;2;1883;0.282281059;0.889006904;0.665958577;0.41157727
V45;2;1734;0.288008862;0.876009227;0.633217993;0.404267589
V56;2;1865;0.282092772;0.896514745;0.735656836;0.388203753
V67;2;1732;0.297866328;0.862009238;0.617205543;0.370092379
V78;2;1608;0.266491174;0.859452736;0.60261194;0.418532338
V89;2;548;0.249221184;0.852189781;0.647810219;0.381386861
