HyperVariable Region,Taxonomy Rank to be classified,Test Size,Main Class prop,Naive Bayes - NB(4)
V2,0,1223,1.0,1.0
V3,0,1720,1.0,1.0
V4,0,1887,0.9979421221864951,0.9989401165871754
V5,0,1523,1.0,1.0
V6,0,24,1.0,1.0
V7,0,1005,1.0,1.0
V8,0,734,1.0,1.0
V2,1,1218,0.5141266240461951,0.8908045977011494
V3,1,1701,0.4114161849710983,0.8283362727807172
V4,1,1946,0.38608087091757387,0.8252826310380267
V5,1,1518,0.445060164661178,0.7753623188405797
V6,1,33,0.991304347826087,1.0
V7,1,975,0.46308724832214765,0.7661538461538462
V8,1,649,0.5242652084757348,0.7519260400616332
V2,2,1197,0.3811088295687885,0.8663324979114453
V3,2,1714,0.2933256116982771,0.851808634772462
V4,2,1977,0.27208848405985686,0.7759231158320687
V5,2,1590,0.32110826393337605,0.7874213836477988
V6,2,30,1.0,0.9666666666666667
V7,2,1013,0.3129234629861982,0.6594274432379073
V8,2,696,0.17193469954845433,0.7456896551724138
V2,3,1190,0.3787164240311667,0.7722689075630252
V3,3,1672,0.2869477622679522,0.7027511961722488
V4,3,1911,0.2687395174816153,0.6572475143903715
V5,3,1551,0.31497692185261816,0.7021276595744681
V6,3,28,0.5833333333333334,0.7857142857142857
V7,3,933,0.3023370233702337,0.652733118971061
V8,3,749,0.07466383581033263,0.5767690253671562
V2,4,1235,0.12665562913907286,0.6299595141700405
V3,4,1716,0.10267921795800145,0.5716783216783217
V4,4,1913,0.09639953542392567,0.592263460533194
V5,4,1525,0.11459819305753685,0.5534426229508197
V6,4,24,0.5645161290322581,0.625
V7,4,997,0.1422144463884029,0.5095285857572718
V8,4,713,0.03494060097833683,0.4642356241234221
V2,5,1135,0.054339010543390104,0.3004405286343612
V3,5,1730,0.03729502249310695,0.31156069364161854
V4,5,1953,0.03437540537034635,0.3451100870455709
V5,5,1635,0.042103565091143734,0.3516819571865444
V6,5,30,0.1016949152542373,0.30000000000000004
V7,5,984,0.037120079720976584,0.3404471544715447
V8,5,710,0.014659685863874346,0.19436619718309855
V2,6,1222,0.05345717234262126,0.18085106382978722
V3,6,1717,0.03635573580533024,0.21199767035527084
V4,6,1932,0.033764553686934026,0.22360248447204967
V5,6,1560,0.04144086707044947,0.2185897435897436
V6,6,27,0.024793388429752067,0.0
V7,6,1052,0.03725291434363913,0.17015209125475284
V8,6,732,0.012310939148786493,0.11338797814207646
