HyperVariable Region,Taxonomy Rank to be classified,Test Size,Main Class prop,Random Forest - RF(0),Random Forest - RF(1),Random Forest - RF(2),Random Forest - RF(3),Random Forest - RF(4)
V1,0,470,1.0,1.0,1.0,1.0,1.0,1.0
V2,0,1222,1.0,1.0,1.0,1.0,1.0,1.0
V3,0,1798,1.0,1.0,1.0,1.0,1.0,1.0
V4,0,1943,0.9896784438269154,0.9897066392177046,1.0,0.9989706639217705,0.9989706639217705,0.9994853319608852
V5,0,1778,1.0,1.0,1.0,1.0,1.0,1.0
V6,0,1753,1.0,1.0,1.0,1.0,1.0,1.0
V7,0,1926,1.0,1.0,1.0,1.0,1.0,1.0
V8,0,1544,1.0,1.0,1.0,1.0,1.0,1.0
V9,0,575,0.9896093100581879,0.9930434782608696,0.9965217391304347,0.9965217391304347,0.9982608695652174,0.9982608695652174
V12,0,750,1.0,1.0,1.0,1.0,1.0,1.0
V23,0,1142,1.0,1.0,1.0,1.0,1.0,1.0
V34,0,1882,1.0,1.0,1.0,1.0,1.0,1.0
V45,0,1780,1.0,1.0,1.0,1.0,1.0,1.0
V56,0,1857,0.9994612068965517,0.9994614970382337,0.9994614970382337,0.9994614970382337,0.9994614970382337,0.9994614970382337
V67,0,1830,1.0,1.0,1.0,1.0,1.0,1.0
V78,0,1628,0.9940975458216837,0.995085995085995,0.9963144963144963,0.9993857493857494,1.0,0.9993857493857494
V89,0,597,1.0,1.0,1.0,1.0,1.0,1.0
sequence,0,2072,0.9900204400625225,0.9835907335907336,0.9913127413127413,0.9946911196911197,0.9980694980694981,0.9995173745173745
V1,1,462,0.5759162303664922,0.577922077922078,0.696969696969697,0.8636363636363636,0.922077922077922,0.935064935064935
V2,1,1148,0.5080906148867314,0.6977351916376306,0.759581881533101,0.8954703832752613,0.9416376306620209,0.9573170731707317
V3,1,1756,0.4035316254161239,0.7078587699316629,0.7608200455580866,0.9253986332574032,0.9789293849658315,0.9834851936218679
V4,1,1880,0.39199475065616796,0.5680851063829787,0.6617021276595745,0.8925531914893617,0.9563829787234043,0.9771276595744681
V5,1,1855,0.41678663979268643,0.6512129380053908,0.7795148247978436,0.9099730458221025,0.9644204851752022,0.9768194070080862
V6,1,1812,0.4149203688181056,0.6169977924944812,0.7323399558498896,0.9133554083885209,0.9663355408388521,0.9768211920529801
V7,1,1857,0.40088757396449703,0.5982767905223478,0.7248249865374259,0.901453957996769,0.9553042541733979,0.9606892837910609
V8,1,1622,0.39791332263242374,0.5462392108508014,0.7330456226880395,0.8988902589395807,0.969173859432799,0.9802712700369913
V9,1,593,0.3844221105527638,0.6408094435075885,0.7571669477234402,0.893760539629005,0.9409780775716695,0.9477234401349073
V12,1,735,0.43854748603351956,0.4163265306122449,0.5945578231292517,0.8244897959183674,0.9210884353741496,0.9442176870748299
V23,1,1173,0.5296703296703297,0.7127024722932651,0.7800511508951407,0.8985507246376812,0.9633418584825234,0.9812446717817562
V34,1,1790,0.3876374363100027,0.6240223463687151,0.7396648044692737,0.9162011173184358,0.975977653631285,0.9860335195530726
V45,1,1734,0.4137358072556079,0.5807381776239908,0.7076124567474049,0.881199538638985,0.9694348327566321,0.9838523644752019
V56,1,1840,0.40209649240693457,0.5668478260869565,0.7423913043478261,0.9157608695652174,0.9668478260869565,0.9798913043478261
V67,1,1698,0.4176627759808747,0.5312131919905771,0.7084805653710247,0.9193168433451119,0.9717314487632509,0.9846878680800942
V78,1,1665,0.38790813935322604,0.5753753753753754,0.7063063063063063,0.8876876876876877,0.9621621621621621,0.978978978978979
V89,1,537,0.3932683790965456,0.558659217877095,0.7188081936685289,0.8938547486033519,0.962756052141527,0.9664804469273743
sequence,1,2058,0.37498499579882366,0.4791059280855199,0.6370262390670554,0.8488824101068999,0.9169096209912536,0.9640427599611273
V1,2,487,0.4716180371352785,0.5010266940451745,0.6139630390143738,0.8234086242299794,0.893223819301848,0.8870636550308009
V2,2,1232,0.38497942386831274,0.5925324675324675,0.648538961038961,0.8571428571428572,0.950487012987013,0.9594155844155844
V3,2,1739,0.29410915391279235,0.5922944220816562,0.6848763657274295,0.9108683151236343,0.972972972972973,0.9764232317423807
V4,2,1886,0.272655634357762,0.4294803817603393,0.5837751855779427,0.855779427359491,0.9581124072110286,0.9766702014846236
V5,2,1814,0.2921139258623157,0.5628445424476296,0.6868798235942668,0.8699007717750826,0.9498346196251378,0.9547960308710033
V6,2,1798,0.2928053541550474,0.48665183537263623,0.6162402669632925,0.8754171301446051,0.9493882091212458,0.9632925472747498
V7,2,1840,0.2843150409231182,0.4798913043478261,0.6853260869565218,0.8728260869565218,0.9320652173913043,0.9347826086956522
V8,2,1581,0.27810556530059,0.47501581277672356,0.6350411132194813,0.8621125869702719,0.948134092346616,0.9601518026565465
V9,2,609,0.23988195615514335,0.46798029556650245,0.6174055829228243,0.819376026272578,0.8784893267651889,0.8998357963875205
V12,2,715,0.3484743411927878,0.34545454545454546,0.5188811188811189,0.7818181818181819,0.9230769230769231,0.9454545454545454
V23,2,1160,0.3822046898969976,0.5594827586206896,0.6448275862068966,0.8758620689655172,0.9612068965517241,0.971551724137931
V34,2,1883,0.28228105906313644,0.5119490175252257,0.6314391927774827,0.8757302177376527,0.9543281996813595,0.9702602230483272
V45,2,1734,0.28800886181113267,0.45674740484429066,0.5963091118800461,0.8523644752018454,0.9446366782006921,0.9746251441753172
V56,2,1865,0.2820927723840345,0.4241286863270778,0.6707774798927614,0.8798927613941019,0.9662198391420912,0.9780160857908847
V67,2,1732,0.29786632753991804,0.4041570438799076,0.5739030023094689,0.8804849884526559,0.9503464203233256,0.9682448036951501
V78,2,1608,0.26649117373799935,0.48134328358208955,0.6094527363184079,0.8507462686567164,0.9465174129353234,0.9651741293532339
V89,2,548,0.24922118380062305,0.39963503649635035,0.5583941605839415,0.8138686131386861,0.9124087591240876,0.9416058394160584
sequence,2,2039,0.2675449101796407,0.35850907307503677,0.5183913683178029,0.7827366356056891,0.8950465914664051,0.9504659146640511
V1,3,480,0.4704016913319239,0.4625,0.5208333333333333,0.725,0.79375,0.7979166666666666
V2,3,1232,0.37448559670781895,0.49431818181818177,0.5535714285714286,0.7508116883116883,0.8936688311688312,0.9099025974025974
V3,3,1732,0.28414827635944034,0.5184757505773672,0.6212471131639723,0.838337182448037,0.9209006928406467,0.9312933025404158
V4,3,1896,0.26841136244082064,0.35917721518987344,0.5226793248945147,0.8032700421940928,0.9203586497890295,0.9430379746835443
V5,3,1727,0.2917726887192536,0.47423277359583094,0.6409959467284307,0.8453966415749855,0.9004053271569195,0.9073537927041112
V6,3,1693,0.2876185241170812,0.4134672179562906,0.5262847017129356,0.7974010632014176,0.8972238629651507,0.9125812167749557
V7,3,1894,0.2817948371401541,0.39440337909186907,0.5960929250263991,0.8014783526927138,0.8363252375923971,0.8537486800422387
V8,3,1586,0.26540057452920524,0.41424968474148804,0.5662042875157629,0.7969735182849937,0.9117276166456494,0.926860025220681
