HyperVariable Region,Taxonomy Rank to be classified,Test Size,Main Class prop,Random Forest - RF(5)
V1,0,470,1.0,1.0
V2,0,1222,1.0,1.0
V3,0,1798,1.0,1.0
V4,0,1943,0.9896784438269154,0.9994853319608852
V5,0,1778,1.0,1.0
V6,0,1753,1.0,1.0
V7,0,1926,1.0,1.0
V8,0,1544,1.0,1.0
V9,0,575,0.9896093100581879,0.9982608695652174
V12,0,750,1.0,1.0
V23,0,1142,1.0,1.0
V34,0,1882,1.0,1.0
V45,0,1780,1.0,1.0
V56,0,1857,0.9994612068965517,0.9994614970382337
V67,0,1830,1.0,1.0
V78,0,1628,0.9940975458216837,0.9993857493857494
V89,0,597,1.0,1.0
sequence,0,2072,0.9900204400625225,0.9995173745173745
V1,1,462,0.5759162303664922,0.935064935064935
V2,1,1148,0.5080906148867314,0.9573170731707317
V3,1,1756,0.4035316254161239,0.9834851936218679
V4,1,1880,0.39199475065616796,0.9771276595744681
V5,1,1855,0.41678663979268643,0.9768194070080862
V6,1,1812,0.4149203688181056,0.9768211920529801
V7,1,1857,0.40088757396449703,0.9606892837910609
V8,1,1622,0.39791332263242374,0.9802712700369913
V9,1,593,0.3844221105527638,0.9477234401349073
V12,1,735,0.43854748603351956,0.9442176870748299
V23,1,1173,0.5296703296703297,0.9812446717817562
V34,1,1790,0.3876374363100027,0.9860335195530726
V45,1,1734,0.4137358072556079,0.9838523644752019
V56,1,1840,0.40209649240693457,0.9798913043478261
V67,1,1698,0.4176627759808747,0.9846878680800942
V78,1,1665,0.38790813935322604,0.978978978978979
V89,1,537,0.3932683790965456,0.9664804469273743
sequence,1,2058,0.37498499579882366,0.9640427599611273
V1,2,487,0.4716180371352785,0.8870636550308009
V2,2,1232,0.38497942386831274,0.9594155844155844
V3,2,1739,0.29410915391279235,0.9764232317423807
V4,2,1886,0.272655634357762,0.9766702014846236
V5,2,1814,0.2921139258623157,0.9547960308710033
V6,2,1798,0.2928053541550474,0.9632925472747498
V7,2,1840,0.2843150409231182,0.9347826086956522
V8,2,1581,0.27810556530059,0.9601518026565465
V9,2,609,0.23988195615514335,0.8998357963875205
V12,2,715,0.3484743411927878,0.9454545454545454
V23,2,1160,0.3822046898969976,0.971551724137931
V34,2,1883,0.28228105906313644,0.9702602230483272
V45,2,1734,0.28800886181113267,0.9746251441753172
V56,2,1865,0.2820927723840345,0.9780160857908847
V67,2,1732,0.29786632753991804,0.9682448036951501
V78,2,1608,0.26649117373799935,0.9651741293532339
V89,2,548,0.24922118380062305,0.9416058394160584
sequence,2,2039,0.2675449101796407,0.9504659146640511
V1,3,480,0.4704016913319239,0.7979166666666666
V2,3,1232,0.37448559670781895,0.9099025974025974
V3,3,1732,0.28414827635944034,0.9312933025404158
V4,3,1896,0.26841136244082064,0.9430379746835443
V5,3,1727,0.2917726887192536,0.9073537927041112
V6,3,1693,0.2876185241170812,0.9125812167749557
V7,3,1894,0.2817948371401541,0.8537486800422387
V8,3,1586,0.26540057452920524,0.926860025220681
V9,3,617,0.23223350253807107,0.807131280388979
V12,3,745,0.350385423966363,0.8738255033557047
V23,3,1136,0.38739917157183346,0.9242957746478874
V34,3,1795,0.27264188917214544,0.9515320334261839
V45,3,1800,0.286472889882616,0.9483333333333334
V56,3,1890,0.27817616019483155,0.9328042328042327
V67,3,1755,0.293734051601928,0.9344729344729344
V78,3,1581,0.26522744795682346,0.9335863377609108
V89,3,602,0.24669402644778843,0.8704318936877077
sequence,3,2082,0.26375346093655955,0.9193083573487032
V1,4,461,0.17425431711145997,0.6550976138828634
V2,4,1232,0.1257201646090535,0.862012987012987
V3,4,1763,0.10185453491741524,0.8718094157685763
V4,4,1926,0.09677845260100343,0.90134994807892
V5,4,1742,0.10242243943901402,0.8737083811710677
V6,4,1788,0.10470620996936786,0.8529082774049217
V7,4,1819,0.09753813219159754,0.793842770753161
V8,4,1568,0.09388924252068746,0.8654336734693877
V9,4,610,0.06916912695065373,0.7032786885245902
V12,4,734,0.13054101221640488,0.8024523160762943
V23,4,1161,0.13064445418676018,0.8854435831180018
V34,4,1868,0.09769647696476964,0.9089935760171306
V45,4,1794,0.10011170064227869,0.9130434782608696
V56,4,1795,0.10165642532727759,0.905849582172702
V67,4,1770,0.10228725671260122,0.8734463276836159
V78,4,1573,0.08840289542584322,0.8862047043865225
V89,4,548,0.07254116599910992,0.8211678832116789
sequence,4,2084,0.09524382901866346,0.8838771593090211
V1,5,505,0.0712372790573112,0.3683168316831683
V2,5,1199,0.0539546290619252,0.5029190992493745
V3,5,1729,0.037197231833910036,0.4598033545401966
V4,5,1967,0.03358555688304792,0.4651753940010168
V5,5,1727,0.03618886061634153,0.5193977996525767
V6,5,1792,0.03705767623293396,0.4782366071428571
V7,5,1839,0.03608800643949557,0.3898858075040783
V8,5,1597,0.03229416466826539,0.5015654351909831
V9,5,600,0.03359932801343973,0.355
V12,5,714,0.04783362218370884,0.4789915966386554
V23,5,1136,0.050359712230215826,0.5580985915492958
V34,5,1801,0.035316234725392776,0.5091615769017213
V45,5,1753,0.03776204359294738,0.5185396463205934
V56,5,1849,0.035252960172228204,0.5105462412114656
V67,5,1755,0.03813439183442019,0.4854700854700855
V78,5,1570,0.03278940886699507,0.46114649681528663
V89,5,562,0.03179579041648007,0.43772241992882566
sequence,5,2061,0.0335014409221902,0.4473556525958272
V1,6,509,0.0703166935050993,0.26522593320235754
V2,6,1268,0.05203150912106136,0.32018927444794953
V3,6,1684,0.03881965334479301,0.29988123515439435
V4,6,1906,0.03265736107453253,0.34889821615949634
V5,6,1782,0.03818207721897706,0.3367003367003367
V6,6,1790,0.03440111420612813,0.3167597765363128
V7,6,1803,0.035914552736982644,0.26788685524126454
