HyperVariable Region,Taxonomy Rank to be classified,Test Size,Main Class prop,Random Forest - RF(5)
V1,0,986,1.0,1.0
V2,0,2417,1.0,1.0
V3,0,3480,1.0,1.0
V4,0,3868,0.9892942109436955,1.0
V5,0,3592,1.0,1.0
V6,0,3515,1.0,1.0
V7,0,3667,1.0,1.0
V8,0,3183,1.0,1.0
V9,0,1073,0.9905911229290243,1.0
V12,0,1405,1.0,1.0
V23,0,2293,1.0,1.0
V34,0,3643,1.0,1.0
V45,0,3513,1.0,1.0
V56,0,3762,0.999527027027027,1.0
V67,0,3547,1.0,1.0
V78,0,3198,0.9937374362146281,1.0
V89,0,1101,1.0,1.0
V1,1,911,0.5789199060787895,0.9813391877058177
V2,1,2363,0.5091131249363609,0.9915361828184511
V3,1,3433,0.4060588616248111,0.9979609670841829
V4,1,3742,0.3860925416175121,0.9983965793693212
V5,1,3502,0.4187943262411348,0.9945745288406624
V6,1,3643,0.40931663985451494,0.9972550096074664
V7,1,3701,0.39711118575747395,0.9916238854363686
V8,1,3104,0.4037301587301587,0.9967783505154639
V9,1,1186,0.3833752093802345,0.9898819561551433
V12,1,1427,0.4399584127534223,0.9901892081289418
V23,1,2266,0.5259259259259259,0.999117387466902
V34,1,3729,0.38938172953206474,0.9978546527219093
V45,1,3696,0.4144625773776027,0.9940476190476191
V56,1,3637,0.40113902847571187,0.9953258179818532
V67,1,3517,0.4127366853414651,0.9982940005686665
V78,1,3172,0.39112654320987655,0.9943253467843631
V89,1,1122,0.39905998209489707,0.9946524064171123
V1,2,908,0.4859228362877998,0.9911894273127754
V2,2,2531,0.3833005283331607,0.99446858949032
V3,2,3447,0.28805013325650075,0.9953582825645488
V4,2,3841,0.2742924995052444,0.9934912783129394
V5,2,3555,0.2935146294582473,0.9901547116736991
V6,2,3593,0.29358053948560675,0.9930420261619817
V7,2,3711,0.28652100840336137,0.9830234438156831
V8,2,3182,0.278789330777831,0.9893148962916405
V9,2,1147,0.23447559709241952,0.962510897994769
V12,2,1423,0.3471861471861472,0.9915671117357695
V23,2,2254,0.38870757180156656,0.9982253771073647
V34,2,3829,0.28131178836844617,0.9937320449203447
V45,2,3556,0.2917943716912789,0.9949381327334084
V56,2,3664,0.2819170358437374,0.993995633187773
V67,2,3564,0.2955030596271524,0.9938271604938271
V78,2,3228,0.2671264724116553,0.9913258983890955
V89,2,1145,0.25241844769403826,0.9807860262008734
V1,3,913,0.4792482380579483,0.963855421686747
V2,3,2470,0.3792464484249537,0.9777327935222672
V3,3,3417,0.28369151153597355,0.9891717881182324
V4,3,3722,0.27130514465244143,0.9868350349274584
V5,3,3546,0.2896983494593056,0.9777213761985336
V6,3,3654,0.2852442951140977,0.9772851669403394
V7,3,3705,0.2804919024259122,0.9611336032388664
V8,3,3160,0.2671396683673469,0.9832278481012658
V9,3,1200,0.2255354892902142,0.9508333333333333
V12,3,1425,0.3473064264680409,0.9803508771929824
V23,3,2245,0.3848494728833822,0.9888641425389755
V34,3,3662,0.2730888499393286,0.984980884762425
V45,3,3654,0.2837003787347454,0.9904214559386973
V56,3,3755,0.27817923954886203,0.9848202396804261
V67,3,3580,0.2904259866077789,0.9891061452513966
V78,3,3335,0.2620145346565601,0.9877061469265367
V89,3,1128,0.2429403854773644,0.975177304964539
V1,4,912,0.1693632567849687,0.9243421052631579
V2,4,2476,0.1295838483724763,0.9737479806138933
V3,4,3495,0.10495121069750632,0.9722460658082975
V4,4,3763,0.0966725733412089,0.9837895296306138
V5,4,3596,0.10152791660716835,0.9588431590656284
V6,4,3534,0.10134666111342497,0.9742501414827391
V7,4,3650,0.09728173540439207,0.9312328767123288
V8,4,3139,0.09176283326701154,0.9726027397260274
V9,4,1159,0.06620861961274203,0.9352890422778257
V12,4,1482,0.13296011196641008,0.9608636977058029
V23,4,2305,0.1284323378186194,0.9869848156182213
V34,4,3736,0.09905149051490515,0.9847430406852249
V45,4,3631,0.10097332119599468,0.982649407876618
V56,4,3693,0.09798910484901473,0.9823991334958029
V67,4,3444,0.10491039932270355,0.9834494773519163
V78,4,3212,0.09117647058823529,0.9782067247820673
V89,4,1088,0.07507774322523322,0.9503676470588235
V1,5,878,0.06673564407656493,0.6002277904328018
V2,5,2513,0.05438941164305656,0.7373656983684839
V3,5,3379,0.036771557594437676,0.5939627108612016
V4,5,3753,0.033252443103561354,0.6104449773514522
V5,5,3545,0.03684996798747955,0.6256699576868829
V6,5,3600,0.03737796373779637,0.5980555555555556
