HyperVariable Region,Taxonomy Rank to be classified,Test Size,Main Class prop,XGBoost - XGB(5)
V1,0,470,1.0,1.0
V2,0,1222,1.0,1.0
V3,0,1798,1.0,1.0
V4,0,1943,0.9896784438269154,0.9989706639217704
V5,0,1778,1.0,1.0
V6,0,1753,1.0,1.0
V7,0,1926,1.0,1.0
V8,0,1544,1.0,1.0
V9,0,575,0.989609310058188,0.9965217391304348
V12,0,750,1.0,1.0
V23,0,1142,1.0,1.0
V34,0,1882,1.0,1.0
V45,0,1780,1.0,1.0
V56,0,1857,0.9994612068965516,1.0
V67,0,1830,1.0,1.0
V78,0,1628,0.9940975458216836,0.9993857493857494
V89,0,597,1.0,1.0
sequence,0,2072,0.9900204400625224,0.998069498069498
V1,1,462,0.5759162303664922,0.9393939393939394
V2,1,1148,0.5080906148867314,0.9686411149825784
V3,1,1756,0.4035316254161239,0.9891799544419134
V4,1,1880,0.391994750656168,0.9819148936170212
V5,1,1855,0.4167866397926864,0.9714285714285714
V6,1,1812,0.4149203688181056,0.9773730684326712
V7,1,1857,0.4008875739644969,0.9536887452880992
V8,1,1622,0.3979133226324237,0.9808877928483354
V9,1,593,0.3844221105527638,0.9426644182124788
V12,1,735,0.4385474860335196,0.9591836734693876
V23,1,1173,0.5296703296703297,0.9880647911338448
V34,1,1790,0.3876374363100027,0.9871508379888267
V45,1,1734,0.4137358072556079,0.983852364475202
V56,1,1840,0.40209649240693457,0.9815217391304348
V67,1,1698,0.4176627759808747,0.9840989399293286
V78,1,1665,0.3879081393532261,0.9807807807807808
V89,1,537,0.3932683790965456,0.9702048417132216
sequence,1,2058,0.3749849957988237,0.97910592808552
V1,2,487,0.4716180371352785,0.8870636550308009
V2,2,1232,0.3849794238683128,0.9545454545454546
V3,2,1739,0.29410915391279235,0.9689476710753306
V4,2,1886,0.272655634357762,0.9602332979851538
V5,2,1814,0.2921139258623157,0.9366041896361632
V6,2,1798,0.2928053541550474,0.9382647385984428
V7,2,1840,0.2843150409231182,0.9157608695652174
V8,2,1581,0.27810556530059,0.9500316255534472
V9,2,609,0.2398819561551433,0.8817733990147784
V12,2,715,0.3484743411927878,0.9146853146853148
V23,2,1160,0.3822046898969976,0.9689655172413794
V34,2,1883,0.28228105906313644,0.9569835369091876
V45,2,1734,0.2880088618111327,0.9538638985005768
V56,2,1865,0.2820927723840345,0.9603217158176944
V67,2,1732,0.29786632753991804,0.9647806004618936
V78,2,1608,0.2664911737379993,0.9533582089552238
V89,2,548,0.24922118380062305,0.936131386861314
sequence,2,2039,0.2675449101796407,0.9269249632172634
V1,3,480,0.4704016913319239,0.7979166666666666
V2,3,1232,0.37448559670781895,0.8814935064935066
V3,3,1732,0.28414827635944034,0.913972286374134
V4,3,1896,0.26841136244082064,0.9050632911392404
V5,3,1727,0.2917726887192536,0.8911407064273307
V6,3,1693,0.2876185241170812,0.8623744831659775
V7,3,1894,0.2817948371401541,0.8326293558606125
V8,3,1586,0.26540057452920524,0.8915510718789408
V9,3,617,0.2322335025380711,0.7601296596434359
V12,3,745,0.3503854239663631,0.8523489932885906
V23,3,1136,0.3873991715718335,0.9049295774647887
V34,3,1795,0.27264188917214544,0.9309192200557104
V45,3,1800,0.28647288988261604,0.9088888888888887
V56,3,1890,0.27817616019483155,0.9015873015873016
V67,3,1755,0.293734051601928,0.9025641025641026
V78,3,1581,0.26522744795682346,0.9038583175205566
V89,3,602,0.24669402644778843,0.8322259136212624
