HVR,occurences,percent,avg_size,min_size,max_size
V1,2372,22.83,75.87,53,192
V2,6092,58.64,223.0,194,359
V3,8665,83.41,149.61,126,248
V4,9500,91.44,255.02,246,333
V5,8801,84.71,109.61,98,182
V6,8970,86.34,174.27,21,213
V7,9293,89.45,71.42,53,282
V8,7852,75.58,192.74,169,208
V9,2987,28.75,85.12,0,207
V12,3599,34.64,315.38,270,466
V23,5723,55.09,389.17,349,515
V34,9248,89.02,418.4,396,517
V45,8956,86.21,374.63,360,516
V56,9281,89.33,299.87,146,370
V67,8809,84.79,259.59,228,317
V78,8066,77.64,278.3,249,488
V89,2802,26.97,293.41,0,416
